TELUS PE Ratio Historical Data,TELUS PE Ratio Historical Data,TELUS PE Ratio Historical Data,TELUS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.65,,29.9
2024-12-31,13.56,$0.49,27.67
2024-09-30,16.35,$0.47,34.78
2024-06-30,14.5,$0.40,36.25
2024-03-31,15.07,$0.39,38.64
2023-12-31,16.48,$0.43,38.32
2023-09-30,14.91,$0.41,36.37
2023-06-30,17.48,$0.62,28.2
2023-03-31,17.59,$0.79,22.26
2022-12-31,16.88,$0.90,18.76
2022-09-30,17.15,$1.14,15.04
2022-06-30,19.01,$1.06,17.94
2022-03-31,22.06,$0.99,22.28
2021-12-31,19.7,$0.96,20.52
2021-09-30,18.15,$0.74,24.53
2021-06-30,18.34,$0.72,25.47
2021-03-31,16.11,$0.69,23.35
2020-12-31,15.82,$0.71,22.28
2020-09-30,13.9,$0.79,17.6
2020-06-30,13.08,$0.89,14.78
2020-03-31,12.16,$1.05,11.64
2019-12-31,14.8,$1.10,13.46
2019-09-30,13.46,$1.10,12.23
2019-06-30,13.78,$1.11,12.42
2019-03-31,13.68,$1.04,13.21
2018-12-31,12.1,$1.05,11.58
2018-09-30,13.29,$1.00,13.29
2018-06-30,12.68,$0.96,13.2
2018-03-31,12.41,$0.95,13.13
2017-12-31,13.22,$0.95,13.99
2017-09-30,12.43,$0.81,15.34
2017-06-30,11.79,$0.79,14.93
2017-03-31,10.98,$0.82,13.39
2016-12-31,10.64,$0.78,13.64
2016-09-30,10.9,$0.90,12.18
2016-06-30,10.53,$0.90,11.69
2016-03-31,10.52,$0.86,12.23
2015-12-31,8.84,$0.91,9.77
2015-09-30,9.98,$0.94,10.61
2015-06-30,10.79,$0.97,11.18
2015-03-31,10.31,$1.02,10.11
2014-12-31,11.07,$1.02,10.91
2014-09-30,10.4,$1.03,10.15
2014-06-30,11.22,$1.04,10.79
2014-03-31,10.73,$0.97,11.12
2013-12-31,10.19,$0.97,10.56
2013-09-30,9.7,$0.98,9.93
2013-06-30,8.47,$0.98,8.68
2013-03-31,9.92,$1.01,9.8
2012-12-31,9.27,$1.01,9.2
2012-09-30,8.81,$0.98,9.04
2012-06-30,8.16,$0.96,8.48
2012-03-31,7.85,$0.97,8.11
2011-12-31,7.32,$0.94,7.81
2011-09-30,6.25,$0.93,6.76
2011-06-30,7.03,$0.86,8.15
2011-03-31,6.42,$0.84,7.68
2010-12-31,5.7,$0.80,7.12
2010-09-30,5.48,$0.74,7.42
2010-06-30,4.62,$0.75,6.15
2010-03-31,4.52,$0.71,6.41
2009-12-31,3.87,$0.75,5.15
