Cisco PE Ratio Historical Data,Cisco PE Ratio Historical Data,Cisco PE Ratio Historical Data,Cisco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,60.62,,26.47
2025-01-31,60.6,$2.29,26.46
2024-10-31,54.77,$2.33,23.51
2024-07-31,48.08,$2.54,18.93
2024-04-30,46.23,$2.97,15.57
2024-01-31,48.98,$3.29,14.89
2023-10-31,50.49,$3.31,15.25
2023-07-31,50.04,$3.07,16.3
2023-04-30,45.09,$2.78,16.22
2023-01-31,46.1,$2.73,16.89
2022-10-31,42.69,$2.77,15.41
2022-07-31,42.25,$2.82,14.98
2022-04-30,45.2,$2.85,15.86
2022-01-31,51.02,$2.80,18.22
2021-10-31,50.99,$2.69,18.96
2021-07-31,50.1,$2.50,20.04
2021-04-30,45.75,$2.41,18.98
2021-01-31,39.78,$2.38,16.71
2020-10-31,31.77,$2.46,12.92
2020-07-31,41.3,$2.63,15.7
2020-04-30,36.87,$2.52,14.63
2020-01-31,39.64,$2.56,15.48
2019-10-31,40.67,$2.51,16.2
2019-07-31,47.08,$2.60,18.11
2019-04-30,47.25,$2.90,16.29
2019-01-31,39.69,$2.77,14.33
2018-10-31,38.09,$0.36,105.8
2018-07-31,34.97,$0.07,499.56
2018-04-30,36.34,$-0.26,0.0
2018-01-31,33.81,$-0.32,0.0
2017-10-31,27.59,$1.93,14.3
2017-07-31,25.19,$1.91,13.19
2017-04-30,27.04,$1.99,13.59
2017-01-31,24.17,$1.95,12.4
2016-10-31,23.93,$2.10,11.4
2016-07-31,23.62,$2.12,11.14
2016-04-30,21.08,$2.01,10.49
2016-01-31,18.07,$2.02,8.95
2015-10-31,21.74,$1.86,11.69
2015-07-31,21.25,$1.73,12.28
2015-04-30,21.39,$1.71,12.51
2015-01-31,19.41,$1.66,11.69
2014-10-31,17.89,$1.47,12.17
2014-07-31,18.31,$1.49,12.29
2014-04-30,16.65,$1.48,11.25
2014-01-31,15.65,$1.52,10.3
2013-10-31,15.99,$1.84,8.69
2013-07-31,18.01,$1.86,9.68
2013-04-30,14.62,$1.80,8.12
2013-01-31,14.26,$1.74,8.2
2012-10-31,11.8,$1.55,7.61
2012-07-31,10.9,$1.49,7.31
2012-04-30,13.7,$1.35,10.15
2012-01-31,13.31,$1.28,10.4
2011-10-31,12.51,$1.15,10.88
2011-07-31,10.74,$1.16,9.26
2011-04-30,11.74,$1.27,9.24
2011-01-31,14.12,$1.31,10.78
2010-10-31,15.26,$1.36,11.22
2010-07-31,15.4,$1.32,11.67
2010-04-30,17.98,$1.18,15.24
2010-01-31,15.0,$1.04,14.43
2009-10-31,15.23,$0.98,15.54
