Enersys PE Ratio Historical Data,Enersys PE Ratio Historical Data,Enersys PE Ratio Historical Data,Enersys PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,97.19,,12.03
2024-12-31,92.43,$8.08,11.44
2024-09-30,101.79,$7.06,14.42
2024-06-30,103.01,$6.61,15.58
2024-03-31,93.79,$6.50,14.43
2023-12-31,99.99,$6.61,15.13
2023-09-30,93.55,$5.83,16.05
2023-06-30,106.99,$5.11,20.94
2023-03-31,85.51,$4.26,20.07
2022-12-31,72.52,$3.34,21.71
2022-09-30,57.0,$3.11,18.33
2022-06-30,57.61,$3.09,18.65
2022-03-31,72.67,$3.35,21.69
2021-12-31,76.87,$3.46,22.22
2021-09-30,72.2,$3.50,20.63
2021-06-30,94.59,$3.51,26.95
2021-03-31,87.72,$3.32,26.42
2020-12-31,80.1,$2.50,32.04
2020-09-30,64.59,$2.25,28.71
2020-06-30,61.8,$2.89,21.38
2020-03-31,47.4,$3.20,14.81
2019-12-31,71.34,$3.66,19.49
2019-09-30,62.72,$4.14,15.15
2019-06-30,64.98,$3.78,17.19
2019-03-31,61.64,$3.73,16.52
2018-12-31,73.22,$4.58,15.99
2018-09-30,82.02,$2.85,28.78
2018-06-30,70.12,$2.74,25.59
2018-03-31,65.03,$2.75,23.65
2017-12-31,65.11,$2.24,29.07
2017-09-30,64.51,$3.67,17.58
2017-06-30,67.4,$3.71,18.17
2017-03-31,73.27,$3.64,20.13
2016-12-31,72.32,$3.09,23.41
2016-09-30,63.93,$3.13,20.43
2016-06-30,54.81,$2.96,18.52
2016-03-31,51.22,$2.98,17.19
2015-12-31,51.24,$3.34,15.34
2015-09-30,48.94,$3.52,13.9
2015-06-30,63.99,$3.81,16.79
2015-03-31,58.34,$3.76,15.52
2014-12-31,55.9,$3.45,16.2
2014-09-30,52.95,$3.51,15.09
2014-06-30,61.95,$3.19,19.42
2014-03-31,62.24,$3.03,20.54
2013-12-31,62.85,$3.54,17.76
2013-09-30,54.27,$3.24,16.75
2013-06-30,43.8,$3.30,13.27
2013-03-31,40.61,$3.42,11.87
2012-12-31,33.52,$3.59,9.34
2012-09-30,31.44,$3.56,8.83
2012-06-30,31.24,$3.23,9.67
2012-03-31,30.87,$2.94,10.5
2011-12-31,23.14,$2.59,8.93
2011-09-30,17.83,$2.49,7.16
2011-06-30,30.66,$2.45,12.52
2011-03-31,35.41,$2.26,15.67
2010-12-31,28.61,$2.03,14.1
2010-09-30,22.24,$1.83,12.16
2010-06-30,19.04,$1.56,12.2
2010-03-31,21.97,$1.26,17.44
2009-12-31,19.48,$0.97,20.09
