Mind Medicine (MindMed) PE Ratio Historical Data,Mind Medicine (MindMed) PE Ratio Historical Data,Mind Medicine (MindMed) PE Ratio Historical Data,Mind Medicine (MindMed) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.65,,0.0
2024-12-31,6.96,$-2.08,0.0
2024-09-30,5.69,$-2.26,0.0
2024-06-30,7.21,$-2.44,0.0
2024-03-31,9.4,$-2.94,0.0
2023-12-31,3.66,$-2.45,0.0
2023-09-30,3.13,$-1.88,0.0
2023-06-30,3.57,$-1.99,0.0
2023-03-31,3.17,$-1.83,0.0
2022-12-31,2.2,$-1.78,0.0
2022-09-30,3.5,$-2.36,0.0
2022-06-30,9.6,$-2.70,0.0
2022-03-31,16.65,$-3.45,0.0
2021-12-31,20.7,$-3.45,0.0
2021-09-30,34.95,$-3.00,0.0
2021-06-30,51.75,$-2.55,0.0
2021-03-31,35.85,$-1.50,0.0
2020-12-31,36.15,$-0.90,0.0
