Tetra Technologies PE Ratio Historical Data,Tetra Technologies PE Ratio Historical Data,Tetra Technologies PE Ratio Historical Data,Tetra Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.41,,4.16
2024-12-31,3.58,$0.82,4.37
2024-09-30,3.1,$0.02,155.0
2024-06-30,3.46,$0.08,43.25
2024-03-31,4.43,$0.16,27.69
2023-12-31,4.52,$0.20,22.6
2023-09-30,6.38,$0.22,29.0
2023-06-30,3.38,$0.18,18.78
2023-03-31,2.65,$0.05,53.0
2022-12-31,3.46,$0.06,57.67
2022-09-30,3.59,$0.06,59.83
2022-06-30,4.06,$0.08,50.75
2022-03-31,4.11,$0.02,205.5
2021-12-31,2.84,$0.82,3.46
2021-09-30,3.12,$0.71,4.39
2021-06-30,4.34,$0.59,7.36
2021-03-31,2.4,$0.49,4.9
2020-12-31,0.86,$-0.38,0.0
2020-09-30,0.51,$-1.17,0.0
2020-06-30,0.53,$-1.20,0.0
2020-03-31,0.32,$-1.11,0.0
2019-12-31,1.96,$-1.19,0.0
2019-09-30,2.01,$-0.24,0.0
2019-06-30,1.63,$-0.17,0.0
2019-03-31,2.34,$-0.16,0.0
2018-12-31,1.68,$-0.53,0.0
2018-09-30,4.51,$-0.82,0.0
2018-06-30,4.45,$-0.73,0.0
2018-03-31,3.75,$-0.78,0.0
2017-12-31,4.27,$-0.34,0.0
2017-09-30,2.86,$-0.42,0.0
2017-06-30,2.79,$-0.61,0.0
2017-03-31,4.07,$-0.83,0.0
2016-12-31,5.02,$-1.92,0.0
2016-09-30,6.11,$-3.43,0.0
2016-06-30,6.37,$-3.15,0.0
2016-03-31,6.35,$-2.64,0.0
2015-12-31,7.52,$-1.56,0.0
2015-09-30,5.91,$-1.62,0.0
2015-06-30,6.38,$-1.87,0.0
2015-03-31,6.18,$-2.09,0.0
2014-12-31,6.68,$-2.15,0.0
2014-09-30,10.82,$-0.38,0.0
2014-06-30,11.78,$-0.10,0.0
2014-03-31,12.8,$-0.11,0.0
2013-12-31,12.36,0,0.0
2013-09-30,12.53,$0.08,156.63
2013-06-30,10.26,$0.03,342.0
2013-03-31,10.26,$0.22,46.64
2012-12-31,7.59,$0.21,36.14
2012-09-30,6.05,$-0.07,0.0
2012-06-30,7.13,$-0.15,0.0
2012-03-31,9.42,$0.09,104.67
2011-12-31,9.34,$0.05,186.8
2011-09-30,7.72,$-0.45,0.0
2011-06-30,12.73,$-0.47,0.0
2011-03-31,15.4,$-0.68,0.0
2010-12-31,11.87,$-0.58,0.0
2010-09-30,10.2,$0.59,17.29
2010-06-30,9.08,$0.89,10.2
2010-03-31,12.22,$0.83,14.72
2009-12-31,11.08,$0.91,12.18
