El Pollo Loco Holdings PE Ratio Historical Data,El Pollo Loco Holdings PE Ratio Historical Data,El Pollo Loco Holdings PE Ratio Historical Data,El Pollo Loco Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.45,,12.29
2024-12-31,11.54,$0.85,13.58
2024-09-30,13.7,$0.79,17.34
2024-06-30,11.31,$0.86,13.15
2024-03-31,9.74,$0.81,12.02
2023-12-31,8.82,$0.75,11.76
2023-09-30,8.95,$0.79,11.33
2023-06-30,8.77,$0.65,13.49
2023-03-31,9.59,$0.65,14.75
2022-12-31,9.96,$0.58,17.17
2022-09-30,7.73,$0.57,13.56
2022-06-30,8.53,$0.71,12.01
2022-03-31,10.07,$0.75,13.42
2021-12-31,12.29,$0.80,15.37
2021-09-30,14.64,$0.78,18.77
2021-06-30,15.85,$0.78,20.32
2021-03-31,13.97,$0.70,19.95
2020-12-31,15.68,$0.69,22.73
2020-09-30,14.04,$0.64,21.93
2020-06-30,12.79,$0.54,23.68
2020-03-31,7.32,$0.75,9.76
2019-12-31,13.12,$0.67,19.58
2019-09-30,9.5,$-0.03,0.0
2019-06-30,9.24,$-0.04,0.0
2019-03-31,11.27,$-0.28,0.0
2018-12-31,13.14,$-0.24,0.0
2018-09-30,10.87,$0.36,30.2
2018-06-30,9.88,$0.08,123.47
2018-03-31,8.23,$0.15,54.87
2017-12-31,8.58,$0.21,40.85
2017-09-30,10.53,$0.22,47.85
2017-06-30,12.0,$0.46,26.09
2017-03-31,10.35,$0.45,23.01
2016-12-31,10.66,$0.47,22.67
2016-09-30,10.91,$0.60,18.18
2016-06-30,11.26,$0.59,19.09
2016-03-31,11.56,$0.58,19.93
2015-12-31,10.94,$0.61,17.94
2015-09-30,9.34,$0.59,15.83
2015-06-30,17.94,$1.17,15.34
