Wipro PE Ratio Historical Data,Wipro PE Ratio Historical Data,Wipro PE Ratio Historical Data,Wipro PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.0,,20.69
2024-12-31,3.54,$0.15,24.41
2024-09-30,3.24,$0.14,24.0
2024-06-30,3.05,$0.13,23.46
2024-03-31,2.88,$0.13,23.0
2023-12-31,2.78,$0.13,22.23
2023-09-30,2.41,$0.13,18.58
2023-06-30,2.36,$0.13,18.12
2023-03-31,2.24,$0.13,17.23
2022-12-31,2.32,$0.13,17.84
2022-09-30,2.34,$0.13,18.03
2022-06-30,2.64,$0.14,19.58
2022-03-31,3.81,$0.15,26.25
2021-12-31,4.81,$0.15,33.17
2021-09-30,4.35,$0.15,30.01
2021-06-30,3.85,$0.14,27.49
2021-03-31,3.12,$0.13,24.03
2020-12-31,2.78,$0.12,23.15
2020-09-30,2.31,$0.12,20.1
2020-06-30,1.63,$0.12,14.15
2020-03-31,1.52,$0.12,13.26
2019-12-31,1.84,$0.12,15.31
2019-09-30,1.79,$0.12,14.9
2019-06-30,2.12,$0.11,18.86
2019-03-31,1.95,$0.11,17.92
2018-12-31,1.88,$0.10,18.58
2018-09-30,1.91,$0.09,20.37
2018-06-30,1.76,$0.10,18.0
2018-03-31,1.89,$0.10,19.39
2017-12-31,2.0,$0.10,19.73
2017-09-30,2.08,$0.10,20.11
2017-06-30,1.9,$0.10,18.76
2017-03-31,1.87,$0.10,19.17
2016-12-31,1.76,$0.10,18.08
2016-09-30,1.77,$0.10,17.79
2016-06-30,2.25,$0.10,22.19
2016-03-31,2.29,$0.11,21.77
2015-12-31,2.09,$0.11,19.51
2015-09-30,2.22,$0.11,20.78
2015-06-30,2.15,$0.11,20.06
2015-03-31,2.39,$0.11,22.32
2014-12-31,2.02,$0.11,18.84
2014-09-30,2.17,$0.11,20.61
2014-06-30,2.1,$0.10,20.38
2014-03-31,2.37,$0.10,24.31
2013-12-31,2.22,$0.09,23.66
2013-09-30,1.81,$0.09,19.85
2013-06-30,1.28,$0.09,14.79
2013-03-31,1.76,$0.09,20.37
2012-12-31,1.52,$0.08,18.51
2012-09-30,1.55,$0.08,19.7
2012-06-30,1.59,$0.08,20.66
2012-03-31,1.89,$0.08,24.56
2011-12-31,1.75,$0.08,22.2
2011-09-30,1.58,$0.08,19.73
2011-06-30,2.26,$0.08,27.51
2011-03-31,2.49,$0.08,30.39
2010-12-31,2.62,$0.08,33.46
2010-09-30,2.45,$0.08,32.1
2010-06-30,2.03,$0.07,27.72
2010-03-31,2.33,$0.07,34.57
2009-12-31,2.22,$0.06,36.32
