Vnet Group PE Ratio Historical Data,Vnet Group PE Ratio Historical Data,Vnet Group PE Ratio Historical Data,Vnet Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.86,,0.0
2024-09-30,4.08,$-2.22,0.0
2024-06-30,2.1,$-2.34,0.0
2024-03-31,1.55,$-2.64,0.0
2023-12-31,2.87,$-2.46,0.0
2023-09-30,3.13,$-0.30,0.0
2023-06-30,2.9,$-0.66,0.0
2023-03-31,3.24,$-0.78,0.0
2022-12-31,5.67,$-0.81,0.0
2022-09-30,5.5,$-0.99,0.0
2022-06-30,6.04,$-0.60,0.0
2022-03-31,5.83,$-0.18,0.0
2021-12-31,9.03,$-0.33,0.0
2021-09-30,17.31,$-1.29,0.0
2021-06-30,22.95,$-1.20,0.0
2021-03-31,32.3,$-3.96,0.0
2020-12-31,34.69,$-4.02,0.0
2020-09-30,23.16,$-2.84,0.0
2020-06-30,23.86,$-2.96,0.0
2020-03-31,13.86,$-0.38,0.0
2019-12-31,7.25,$-0.19,0.0
2019-09-30,7.62,$-0.29,0.0
2019-06-30,7.79,$-0.29,0.0
2019-03-31,7.94,$-0.29,0.0
2018-12-31,8.64,$-0.24,0.0
2018-09-30,10.1,$0.97,10.41
2018-06-30,9.7,$-0.95,0.0
2018-03-31,6.93,$-1.01,0.0
2017-12-31,7.98,$-1.22,0.0
2017-09-30,5.69,$-2.91,0.0
2017-06-30,5.02,$-1.06,0.0
2017-03-31,5.49,$-1.08,0.0
2016-12-31,7.01,$-1.19,0.0
2016-09-30,7.95,$-0.81,0.0
2016-06-30,10.21,$-0.79,0.0
2016-03-31,19.97,$-0.86,0.0
2015-12-31,21.14,$-0.82,0.0
2015-09-30,18.28,$-1.03,0.0
2015-06-30,20.52,$-0.83,0.0
2015-03-31,17.66,$-0.71,0.0
2014-12-31,15.47,$-0.86,0.0
2014-09-30,18.0,$-0.44,0.0
2014-06-30,29.97,$-0.56,0.0
2014-03-31,28.7,$-0.53,0.0
2013-12-31,23.52,$-0.13,0.0
2013-09-30,16.49,0,0.0
2013-06-30,11.33,$0.06,188.83
2013-03-31,9.4,$0.24,39.17
2012-12-31,9.61,$0.15,64.07
2012-09-30,11.54,$0.04,288.5
2012-06-30,11.45,$0.23,49.78
2012-03-31,11.35,$0.07,162.14
