Fresh Vine Wine PE Ratio Historical Data,Fresh Vine Wine PE Ratio Historical Data,Fresh Vine Wine PE Ratio Historical Data,Fresh Vine Wine PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.51,,0.0
2024-09-30,0.9,$-0.28,0.0
2024-06-30,0.61,$-0.39,0.0
2024-03-31,0.74,$-0.60,0.0
2023-12-31,0.91,$-0.67,0.0
2023-09-30,0.42,$-0.85,0.0
2023-06-30,0.23,$-0.92,0.0
2023-03-31,0.49,$-1.01,0.0
2022-12-31,0.98,$-1.21,0.0
2022-09-30,1.77,$-0.91,0.0
