Trinseo PE Ratio Historical Data,Trinseo PE Ratio Historical Data,Trinseo PE Ratio Historical Data,Trinseo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.03,,0.0
2024-12-31,5.1,$-9.86,0.0
2024-09-30,5.11,$-14.06,0.0
2024-06-30,2.31,$-12.68,0.0
2024-03-31,3.78,$-20.69,0.0
2023-12-31,8.37,$-19.95,0.0
2023-09-30,8.17,$-22.86,0.0
2023-06-30,12.67,$-25.18,0.0
2023-03-31,20.85,$-14.24,0.0
2022-12-31,22.71,$-12.40,0.0
2022-09-30,18.32,$1.18,15.53
2022-06-30,38.14,$6.95,5.49
2022-03-31,47.19,$9.76,4.83
2021-12-31,51.36,$11.13,4.61
2021-09-30,52.84,$9.70,5.45
2021-06-30,58.15,$10.09,5.76
2021-03-31,61.8,$2.91,21.24
2020-12-31,49.63,$0.16,310.2
2020-09-30,24.51,$-1.41,0.0
2020-06-30,20.79,$-3.60,0.0
2020-03-31,16.67,$0.44,37.88
2019-12-31,33.85,$2.24,15.11
2019-09-30,38.67,$2.08,18.59
2019-06-30,37.73,$3.24,11.65
2019-03-31,40.03,$4.80,8.34
2018-12-31,40.45,$6.65,6.08
2018-09-30,68.82,$9.30,7.4
2018-06-30,62.02,$8.32,7.45
2018-03-31,64.43,$7.42,8.68
2017-12-31,62.87,$7.30,8.61
2017-09-30,57.81,$6.39,9.05
2017-06-30,59.18,$7.08,8.36
2017-03-31,57.55,$7.74,7.44
2016-12-31,50.61,$6.71,7.54
2016-09-30,48.0,$5.87,8.18
2016-06-30,36.19,$5.50,6.58
2016-03-31,31.03,$3.52,8.81
2015-12-31,23.77,$2.73,8.71
2015-09-30,21.28,$1.24,17.16
2015-06-30,22.62,$-0.03,0.0
2015-03-31,16.69,$-1.20,0.0
