Runway Growth Finance PE Ratio Historical Data,Runway Growth Finance PE Ratio Historical Data,Runway Growth Finance PE Ratio Historical Data,Runway Growth Finance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.7,,10.29
2024-09-30,10.29,$1.04,9.89
2024-06-30,11.76,$0.76,15.47
2024-03-31,12.12,$1.10,11.02
2023-12-31,12.62,$1.10,11.47
2023-09-30,12.82,$1.68,7.63
2023-06-30,12.35,$1.60,7.72
2023-03-31,12.13,$1.03,11.78
2022-12-31,11.59,$0.80,14.49
2022-09-30,11.37,$0.83,13.7
