National CineMedia PE Ratio Historical Data,National CineMedia PE Ratio Historical Data,National CineMedia PE Ratio Historical Data,National CineMedia PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.82,,0.0
2024-12-31,6.64,$-0.23,0.0
2024-09-30,7.05,$-0.25,0.0
2024-06-30,4.39,$2.68,1.64
2024-03-31,5.15,$34.07,0.15
2023-12-31,4.14,$31.33,0.13
2023-09-30,4.49,$31.09,0.14
2023-06-30,3.37,$27.10,0.12
2023-03-31,1.32,$-4.30,0.0
2022-12-31,2.2,$-4.30,0.0
2022-09-30,6.52,$-3.20,0.0
2022-06-30,8.98,$-4.00,0.0
2022-03-31,24.33,$-6.70,0.0
2021-12-31,26.39,$-6.10,0.0
2021-09-30,32.94,$-11.70,0.0
2021-06-30,45.99,$-11.40,0.0
2021-03-31,41.45,$-10.40,0.0
2020-12-31,33.07,$-8.40,0.0
2020-09-30,23.59,$-1.50,0.0
2020-06-30,25.25,$1.30,19.42
2020-03-31,26.99,$4.20,6.43
2019-12-31,58.86,$4.60,12.8
2019-09-30,64.69,$4.30,15.04
2019-06-30,50.45,$4.50,11.21
2019-03-31,53.01,$3.90,13.59
2018-12-31,47.67,$3.70,12.88
2018-09-30,76.07,$0.90,84.53
2018-06-30,59.2,$1.00,59.2
2018-03-31,35.74,$0.70,51.05
2017-12-31,45.83,$0.20,229.16
2017-09-30,44.9,$3.30,13.61
2017-06-30,46.06,$3.10,14.86
2017-03-31,76.15,$4.00,19.04
2016-12-31,87.27,$4.10,21.29
2016-09-30,85.95,$2.80,30.7
2016-06-30,89.08,$2.80,31.81
2016-03-31,86.13,$3.40,25.33
2015-12-31,87.65,$2.60,33.71
2015-09-30,73.79,$2.90,25.45
2015-06-30,86.43,$2.40,36.01
2015-03-31,80.68,$1.30,62.06
2014-12-31,75.66,$2.30,32.9
2014-09-30,75.21,$4.10,18.34
2014-06-30,89.43,$5.70,15.69
2014-03-31,75.53,$6.80,11.11
2013-12-31,96.05,$7.10,13.53
2013-09-30,89.64,$3.80,23.59
2013-06-30,79.31,$4.40,18.02
2013-03-31,73.14,$2.40,30.47
2012-12-31,64.55,$2.40,26.9
2012-09-30,73.61,$3.70,19.89
2012-06-30,67.17,$3.80,17.68
2012-03-31,66.67,$5.70,11.7
2011-12-31,53.27,$5.70,9.34
2011-09-30,61.31,$6.70,9.15
2011-06-30,70.37,$6.00,11.73
2011-03-31,76.74,$5.50,13.95
2010-12-31,80.95,$6.00,13.49
2010-09-30,72.01,$6.40,11.25
2010-06-30,66.29,$5.60,11.84
2010-03-31,68.02,$6.20,10.97
2009-12-31,64.71,$6.20,10.44
