Essential Utilities PE Ratio Historical Data,Essential Utilities PE Ratio Historical Data,Essential Utilities PE Ratio Historical Data,Essential Utilities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.86,,17.91
2024-12-31,36.32,$2.17,16.74
2024-09-30,38.25,$2.00,19.13
2024-06-30,36.72,$2.05,17.91
2024-03-31,36.15,$2.11,17.13
2023-12-31,36.13,$1.86,19.43
2023-09-30,32.91,$1.80,18.29
2023-06-30,37.97,$1.76,21.57
2023-03-31,41.24,$1.73,23.84
2022-12-31,44.82,$1.77,25.32
2022-09-30,38.6,$1.77,21.81
2022-06-30,42.53,$1.70,25.02
2022-03-31,47.14,$1.71,27.57
2021-12-31,49.21,$1.67,29.47
2021-09-30,42.0,$1.63,25.76
2021-06-30,41.42,$1.66,24.95
2021-03-31,40.34,$1.63,24.75
2020-12-31,42.41,$1.11,38.2
2020-09-30,35.89,$0.99,36.26
2020-06-30,37.46,$1.15,32.57
2020-03-31,35.88,$1.11,32.33
2019-12-31,41.2,$1.00,41.2
2019-09-30,39.14,$0.70,55.91
2019-06-30,35.92,$0.76,47.27
2019-03-31,31.47,$0.88,35.76
2018-12-31,29.34,$1.08,27.17
2018-09-30,31.46,$1.40,22.47
2018-06-30,29.82,$1.39,21.45
2018-03-31,28.69,$1.36,21.1
2017-12-31,32.85,$1.35,24.34
2017-09-30,27.64,$1.33,20.78
2017-06-30,27.56,$1.31,21.04
2017-03-31,26.45,$1.30,20.35
2016-12-31,24.56,$1.31,18.75
2016-09-30,24.76,$1.19,20.8
2016-06-30,28.79,$1.16,24.82
2016-03-31,25.55,$1.15,22.22
2015-12-31,23.79,$1.13,21.06
2015-09-30,21.01,$1.35,15.56
2015-06-30,19.3,$1.35,14.3
2015-03-31,20.64,$1.34,15.4
2014-12-31,20.78,$1.31,15.86
2014-09-30,18.2,$1.25,14.56
2014-06-30,20.14,$1.23,16.38
2014-03-31,19.14,$1.22,15.64
2013-12-31,17.9,$1.25,14.34
2013-09-30,18.65,$1.31,14.26
2013-06-30,18.77,$1.24,15.18
2013-03-31,18.76,$1.17,16.0
2012-12-31,15.07,$1.12,13.41
2012-09-30,14.57,$0.94,15.57
2012-06-30,14.59,$0.89,16.43
2012-03-31,12.93,$0.86,14.97
2011-12-31,12.7,$0.82,15.41
2011-09-30,12.32,$0.80,15.4
2011-06-30,12.47,$0.82,15.28
2011-03-31,12.89,$0.78,16.61
2010-12-31,12.58,$0.73,17.27
2010-09-30,11.33,$0.72,15.73
2010-06-30,9.74,$0.66,14.67
2010-03-31,9.6,$0.64,15.0
2009-12-31,9.48,$0.62,15.2
