National Presto Industries PE Ratio Historical Data,National Presto Industries PE Ratio Historical Data,National Presto Industries PE Ratio Historical Data,National Presto Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,89.36,,18.81
2024-09-30,75.14,$4.75,15.82
2024-06-30,75.13,$4.61,16.3
2024-03-31,83.8,$4.53,18.5
2023-12-31,75.87,$4.86,15.61
2023-09-30,68.48,$3.31,20.69
2023-06-30,69.17,$3.58,19.32
2023-03-31,68.13,$3.75,18.17
2022-12-31,61.13,$2.91,21.01
2022-09-30,58.09,$3.06,18.98
2022-06-30,58.61,$2.38,24.63
2022-03-31,68.71,$2.76,24.9
2021-12-31,69.33,$3.63,19.1
2021-09-30,69.37,$5.16,13.44
2021-06-30,85.91,$6.30,13.64
2021-03-31,86.26,$6.78,12.72
2020-12-31,70.43,$6.67,10.56
2020-09-30,65.2,$6.36,10.25
2020-06-30,69.6,$4.64,15.0
2020-03-31,56.4,$2.84,19.86
2019-12-31,65.41,$2.52,25.96
2019-09-30,65.92,$0.85,77.56
2019-06-30,69.03,$1.76,39.22
2019-03-31,80.32,$3.30,24.34
2018-12-31,82.12,$4.02,20.43
2018-09-30,91.07,$6.42,14.18
2018-06-30,87.1,$6.70,13.0
2018-03-31,65.85,$6.55,10.05
2017-12-31,65.52,$7.58,8.64
2017-09-30,70.14,$8.15,8.61
2017-06-30,72.8,$8.15,8.93
2017-03-31,67.34,$7.95,8.47
2016-12-31,66.5,$6.39,10.41
2016-09-30,54.87,$5.60,9.8
2016-06-30,58.97,$5.58,10.57
2016-03-31,52.34,$4.39,11.92
2015-12-31,48.75,$4.52,10.78
2015-09-30,49.57,$2.34,21.18
2015-06-30,47.25,$1.91,24.74
2015-03-31,37.29,$2.51,14.86
2014-12-31,32.05,$2.02,15.87
2014-09-30,33.53,$4.49,7.47
2014-06-30,40.23,$5.06,7.95
2014-03-31,43.1,$5.66,7.61
2013-12-31,41.74,$5.97,6.99
2013-09-30,36.5,$5.16,7.07
2013-06-30,37.34,$5.21,7.17
2013-03-31,41.74,$5.27,7.92
2012-12-31,35.83,$5.64,6.35
2012-09-30,35.09,$5.93,5.92
2012-06-30,33.59,$6.37,5.27
2012-03-31,36.53,$6.68,5.47
2011-12-31,42.61,$6.97,6.11
2011-09-30,39.56,$8.26,4.79
2011-06-30,46.2,$8.38,5.51
2011-03-31,51.29,$8.99,5.71
2010-12-31,55.69,$9.26,6.01
2010-09-30,45.61,$9.18,4.97
2010-06-30,39.78,$9.70,4.1
2010-03-31,50.94,$9.47,5.38
2009-12-31,44.19,$9.13,4.84
