Capital Bancorp PE Ratio Historical Data,Capital Bancorp PE Ratio Historical Data,Capital Bancorp PE Ratio Historical Data,Capital Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.9,,12.4
2024-09-30,25.61,$2.33,10.99
2024-06-30,20.33,$2.41,8.44
2024-03-31,20.58,$2.34,8.79
2023-12-31,23.82,$2.55,9.34
2023-09-30,18.75,$2.52,7.44
2023-06-30,17.67,$2.59,6.82
2023-03-31,16.19,$2.87,5.64
2022-12-31,22.84,$2.90,7.87
2022-09-30,22.35,$2.99,7.48
2022-06-30,20.95,$3.01,6.96
2022-03-31,22.02,$2.89,7.62
2021-12-31,25.18,$2.83,8.9
2021-09-30,23.08,$2.83,8.16
2021-06-30,19.58,$2.65,7.39
2021-03-31,18.47,$2.31,7.99
2020-12-31,13.34,$1.87,7.13
2020-09-30,9.06,$1.52,5.96
2020-06-30,10.24,$1.23,8.33
2020-03-31,11.99,$1.18,10.16
2019-12-31,14.25,$1.21,11.78
2019-09-30,13.04,$1.10,11.85
2019-06-30,11.77,$1.04,11.32
