ComScore PE Ratio Historical Data,ComScore PE Ratio Historical Data,ComScore PE Ratio Historical Data,ComScore PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.26,,0.0
2024-12-31,5.84,$-15.33,0.0
2024-09-30,6.79,$-21.75,0.0
2024-06-30,14.19,$-9.36,0.0
2024-03-31,15.4,$-18.37,0.0
2023-12-31,16.7,$-19.89,0.0
2023-09-30,12.28,$-14.00,0.0
2023-06-30,16.2,$-25.60,0.0
2023-03-31,24.6,$-17.40,0.0
2022-12-31,23.2,$-17.60,0.0
2022-09-30,33.0,$-17.00,0.0
2022-06-30,41.2,$-5.40,0.0
2022-03-31,58.2,$-9.00,0.0
2021-12-31,66.8,$-16.00,0.0
2021-09-30,78.0,$-19.40,0.0
2021-06-30,100.0,$-22.20,0.0
2021-03-31,73.2,$-19.60,0.0
2020-12-31,49.8,$-13.60,0.0
2020-09-30,40.8,$-16.20,0.0
2020-06-30,62.0,$-16.20,0.0
2020-03-31,56.4,$-105.40,0.0
2019-12-31,98.8,$-110.80,0.0
2019-09-30,38.2,$-113.80,0.0
2019-06-30,103.2,$-119.00,0.0
2019-03-31,405.0,$-47.20,0.0
2018-12-31,288.6,$-56.60,0.0
2018-09-30,364.6,$-47.40,0.0
2018-06-30,436.0,$-39.00,0.0
2018-03-31,457.2,$-18.60,0.0
2017-12-31,457.2,0,0.0
2017-09-30,457.2,0,0.0
2017-06-30,457.2,0,0.0
2017-03-31,457.2,0,0.0
2016-12-31,631.6,0,0.0
2016-09-30,613.2,$2.20,278.73
2016-06-30,477.6,$2.60,183.69
2016-03-31,600.8,$0.20,3004.0
2015-12-31,823.0,$-4.20,0.0
2015-09-30,923.0,$-8.00,0.0
2015-06-30,1065.2,$-10.40,0.0
2015-03-31,1024.0,$-9.80,0.0
2014-12-31,928.6,$-5.80,0.0
2014-09-30,728.2,$-4.20,0.0
2014-06-30,709.6,$-2.20,0.0
2014-03-31,655.8,$-0.60,0.0
2013-12-31,572.2,$-1.40,0.0
2013-09-30,579.4,$-2.40,0.0
2013-06-30,487.8,$-4.20,0.0
2013-03-31,335.6,$-8.00,0.0
2012-12-31,275.6,$-7.00,0.0
2012-09-30,305.0,$-8.00,0.0
2012-06-30,329.2,$-8.60,0.0
2012-03-31,427.8,$-9.80,0.0
2011-12-31,424.0,$-9.80,0.0
2011-09-30,337.4,$-8.20,0.0
2011-06-30,518.0,$-7.20,0.0
2011-03-31,590.0,$-1.40,0.0
2010-12-31,446.8,$-1.00,0.0
2010-09-30,470.4,$0.40,1176.0
2010-06-30,329.4,$2.40,137.25
2010-03-31,333.8,$2.60,128.38
2009-12-31,351.0,$2.60,135.0
