"AGEAGLE AERIAL SYSTEMS, INC PE Ratio Historical Data","AGEAGLE AERIAL SYSTEMS, INC PE Ratio Historical Data","AGEAGLE AERIAL SYSTEMS, INC PE Ratio Historical Data","AGEAGLE AERIAL SYSTEMS, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.31,,0.0
2024-09-30,4.71,$-66.53,0.0
2024-06-30,25.0,$-120.50,0.0
2024-03-31,39.41,$-158.50,0.0
2023-12-31,104.9,$-170.00,0.0
2023-09-30,168.0,$-730.00,0.0
2023-06-30,230.0,$-650.00,0.0
2023-03-31,450.0,$-670.00,0.0
2022-12-31,350.0,$-720.00,0.0
2022-09-30,464.6,$-430.00,0.0
2022-06-30,646.1,$-490.00,0.0
2022-03-31,1190.0,$-490.00,0.0
2021-12-31,1570.0,$-440.00,0.0
2021-09-30,3010.0,$-190.00,0.0
2021-06-30,5270.0,$-150.00,0.0
2021-03-31,6260.0,$-390.00,0.0
2020-12-31,6000.0,$-370.00,0.0
2020-09-30,2280.0,$-390.00,0.0
2020-06-30,1190.0,$-420.00,0.0
2020-03-31,410.7,$-160.00,0.0
2019-12-31,450.0,$-170.00,0.0
2019-09-30,313.9,$-190.00,0.0
2019-06-30,293.0,$-220.00,0.0
2019-03-31,410.0,$-240.00,0.0
2018-12-31,565.0,$-240.00,0.0
2018-09-30,1644.1,$-180.00,0.0
2018-06-30,1820.0,"$-3,110.00",0.0
2018-03-31,4330.0,"$14,210.00",0.3
2017-12-31,5500.0,"$8,000.00",0.69
2017-09-30,7530.0,"$-1,500.00",0.0
2017-06-30,8000.0,"$-6,000.00",0.0
2017-03-31,9000.0,"$-35,500.00",0.0
2016-12-31,7250.0,"$-48,000.00",0.0
2016-09-30,9925.0,"$-75,500.00",0.0
2016-06-30,7000.0,"$-96,250.00",0.0
2016-03-31,6250.0,"$-125,250.00",0.0
2015-12-31,7500.0,"$-163,500.00",0.0
2015-09-30,12250.0,"$-114,250.00",0.0
2015-06-30,37500.0,"$-81,750.00",0.0
2015-03-31,37000.0,"$-44,000.00",0.0
2014-12-31,50000.0,"$13,000.00",3.85
2014-09-30,150500.0,$750.00,200.67
2014-06-30,175000.0,"$-7,248.13",0.0
2014-03-31,180000.0,0,0.0
2013-12-31,206250.0,0,0.0
2013-09-30,217500.0,"$-3,748.13",0.0
2013-06-30,191250.0,"$-7,496.25",0.0
2013-03-31,258750.0,"$3,748.12",69.03
2012-12-31,221250.0,"$-3,748.13",0.0
2012-09-30,273750.0,"$-18,740.63",0.0
2012-06-30,262500.0,"$-11,244.38",0.0
2012-03-31,288750.0,"$-26,236.88",0.0
2011-12-31,337500.0,"$-18,740.63",0.0
2011-09-30,221250.0,0,0.0
2011-06-30,273750.0,0,0.0
2011-03-31,318750.0,0,0.0
2010-12-31,150000.0,0,0.0
2010-09-30,93750.0,0,0.0
2010-06-30,150000.0,0,0.0
2010-03-31,191250.0,0,0.0
2009-12-31,236250.0,0,0.0
