NCR Voyix PE Ratio Historical Data,NCR Voyix PE Ratio Historical Data,NCR Voyix PE Ratio Historical Data,NCR Voyix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.27,,1.59
2024-12-31,13.84,$6.47,2.14
2024-09-30,13.57,$4.32,3.14
2024-06-30,12.35,$-4.00,0.0
2024-03-31,12.63,$-3.36,0.0
2023-12-31,16.91,$-3.01,0.0
2023-09-30,26.97,$-0.91,0.0
2023-06-30,25.2,$0.46,54.78
2023-03-31,23.59,$0.61,38.67
2022-12-31,23.41,$0.29,80.72
2022-09-30,19.01,$0.87,21.85
2022-06-30,31.11,$0.47,66.19
2022-03-31,40.19,$0.11,365.36
2021-12-31,40.2,$0.58,69.31
2021-09-30,38.76,$-1.47,0.0
2021-06-30,45.61,$-1.34,0.0
2021-03-31,37.95,$-0.80,0.0
2020-12-31,37.57,$-0.86,0.0
2020-09-30,22.14,$3.19,6.94
2020-06-30,17.32,$3.09,5.61
2020-03-31,17.7,$3.23,5.48
2019-12-31,35.16,$3.30,10.65
2019-09-30,31.56,$0.36,87.67
2019-06-30,31.1,$0.83,37.47
2019-03-31,27.29,$-1.08,0.0
2018-12-31,23.08,$-1.22,0.0
2018-09-30,28.41,$-1.17,0.0
2018-06-30,29.98,$-0.96,0.0
2018-03-31,31.52,$1.04,30.31
2017-12-31,33.99,$0.84,40.46
2017-09-30,37.52,$1.65,22.74
2017-06-30,40.84,$1.56,26.18
2017-03-31,45.68,$1.38,33.1
2016-12-31,40.56,$1.68,24.14
2016-09-30,32.19,$1.48,21.75
2016-06-30,27.77,$1.37,20.27
2016-03-31,29.93,$-1.15,0.0
2015-12-31,24.46,$-1.08,0.0
2015-09-30,22.75,$-1.04,0.0
2015-06-30,30.1,$-1.52,0.0
2015-03-31,29.51,$1.04,28.38
2014-12-31,29.14,$1.12,26.02
2014-09-30,33.41,$2.09,15.99
2014-06-30,35.09,$2.58,13.6
2014-03-31,36.55,$2.56,14.28
2013-12-31,34.06,$2.61,13.05
2013-09-30,39.61,$1.33,29.78
2013-06-30,32.99,$1.10,29.99
2013-03-31,27.56,$1.08,25.52
2012-12-31,25.48,$0.90,28.31
2012-09-30,23.31,$0.96,24.28
2012-06-30,22.73,$0.71,32.01
2012-03-31,21.71,$0.43,50.49
2011-12-31,16.46,$0.33,49.88
2011-09-30,16.89,$0.63,26.81
2011-06-30,18.89,$1.04,18.16
2011-03-31,18.84,$1.02,18.47
2010-12-31,15.37,$0.82,18.74
2010-09-30,13.63,$0.23,59.26
2010-06-30,12.12,$-0.19,0.0
2010-03-31,13.8,$-0.24,0.0
2009-12-31,11.13,$-0.21,0.0
