Arista Networks PE Ratio Historical Data,Arista Networks PE Ratio Historical Data,Arista Networks PE Ratio Historical Data,Arista Networks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,82.97,,37.37
2024-12-31,110.53,$2.22,49.79
2024-09-30,95.96,$2.08,46.13
2024-06-30,87.62,$1.93,45.46
2024-03-31,72.5,$1.80,40.39
2023-12-31,58.88,$1.64,35.85
2023-09-30,45.98,$1.50,30.66
2023-06-30,40.52,$1.35,29.96
2023-03-31,41.97,$1.20,34.97
2022-12-31,30.34,$1.07,28.42
2022-09-30,28.22,$0.92,30.76
2022-06-30,23.44,$0.81,28.91
2022-03-31,34.75,$0.73,47.6
2021-12-31,35.94,$0.66,54.5
2021-09-30,21.48,$0.62,34.85
2021-06-30,22.64,$0.57,39.51
2021-03-31,18.87,$0.53,35.39
2020-12-31,18.16,$0.50,36.36
2020-09-30,12.93,$0.56,23.17
2020-06-30,13.13,$0.59,22.34
2020-03-31,12.66,$0.62,20.46
2019-12-31,12.71,$0.67,19.12
2019-09-30,14.93,$0.59,25.17
2019-06-30,16.23,$0.56,28.91
2019-03-31,19.65,$0.53,36.94
2018-12-31,13.17,$0.49,26.9
2018-09-30,16.62,$0.44,37.87
2018-06-30,16.09,$0.41,38.89
2018-03-31,15.96,$0.38,42.12
2017-12-31,14.72,$0.33,44.11
2017-09-30,11.85,$0.30,39.16
2017-06-30,9.36,$0.24,38.89
2017-03-31,8.27,$0.19,42.94
2016-12-31,6.05,$0.16,38.87
2016-09-30,5.32,$0.14,37.0
2016-06-30,4.02,$0.13,32.19
2016-03-31,3.94,$0.11,35.06
2015-12-31,4.87,$0.10,46.87
2015-09-30,3.82,$0.09,41.03
2015-06-30,5.11,$0.09,58.32
2015-03-31,4.41,$0.09,49.92
