Peabody Energy PE Ratio Historical Data,Peabody Energy PE Ratio Historical Data,Peabody Energy PE Ratio Historical Data,Peabody Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.84,,5.13
2024-12-31,20.94,$2.70,7.76
2024-09-30,26.47,$3.78,7.0
2024-06-30,21.98,$3.86,5.7
2024-03-31,24.03,$3.59,6.69
2023-12-31,24.02,$4.98,4.82
2023-09-30,25.58,$7.57,3.38
2023-06-30,21.25,$9.08,2.34
2023-03-31,25.04,$10.47,2.39
2022-12-31,25.84,$7.91,3.27
2022-09-30,24.27,$7.92,3.06
2022-06-30,20.86,$5.21,4.0
2022-03-31,23.99,$2.39,10.04
2021-12-31,9.85,$2.46,4.0
2021-09-30,14.46,$-2.79,0.0
2021-06-30,7.76,$-3.10,0.0
2021-03-31,2.99,$-18.60,0.0
2020-12-31,2.36,$-19.12,0.0
2020-09-30,2.25,$-20.78,0.0
2020-06-30,2.82,$-20.90,0.0
2020-03-31,2.84,$-4.78,0.0
2019-12-31,8.92,$-2.33,0.0
2019-09-30,14.23,$2.85,4.99
2019-06-30,23.13,$4.25,5.44
2019-03-31,27.04,$4.84,5.59
2018-12-31,27.23,$4.54,6.0
2018-09-30,31.73,$4.71,6.74
2018-06-30,40.37,$5.59,7.22
2018-03-31,32.31,$4.45,7.26
