Sphere 3D PE Ratio Historical Data,Sphere 3D PE Ratio Historical Data,Sphere 3D PE Ratio Historical Data,Sphere 3D PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.45,,0.0
2024-09-30,0.9,$-0.80,0.0
2024-06-30,1.08,$-1.31,0.0
2024-03-31,1.54,$-1.85,0.0
2023-12-31,3.32,$-1.93,0.0
2023-09-30,1.33,$-13.62,0.0
2023-06-30,1.94,$-15.29,0.0
2023-03-31,2.46,$-19.19,0.0
2022-12-31,1.93,$-20.45,0.0
2022-09-30,3.09,$-9.31,0.0
2022-06-30,3.75,$-7.63,0.0
2022-03-31,14.7,$-4.62,0.0
2021-12-31,21.84,$-4.90,0.0
2021-09-30,41.58,$-4.90,0.0
2021-06-30,18.27,$-5.60,0.0
2021-03-31,18.27,$-7.14,0.0
2020-12-31,10.01,$-7.21,0.0
2020-09-30,17.29,$-9.52,0.0
2020-06-30,20.02,$-7.63,0.0
2020-03-31,4.9,$-9.80,0.0
2019-12-31,5.45,$-13.59,0.0
2019-09-30,8.19,$-10.08,0.0
2019-06-30,10.99,$-28.50,0.0
2019-03-31,16.8,$-48.11,0.0
2018-12-31,21.35,$-92.23,0.0
2018-09-30,21.84,$-153.85,0.0
2018-06-30,25.91,$-169.19,0.0
2018-03-31,56.19,$-245.94,0.0
2017-12-31,137.76,$-336.14,0.0
2017-09-30,123.76,$-470.59,0.0
2017-06-30,270.2,"$-1,614.01",0.0
2017-03-31,302.96,"$-1,778.71",0.0
2016-12-31,420.0,"$-1,890.76",0.0
2016-09-30,659.54,"$-2,310.92",0.0
2016-06-30,1120.0,"$-1,498.60",0.0
2016-03-31,1736.0,"$-1,582.63",0.0
2015-12-31,2121.0,"$-1,708.68",0.0
2015-09-30,2954.0,"$-1,372.55",0.0
2015-06-30,7098.0,"$-1,204.48",0.0
2015-03-31,5180.0,"$-1,022.41",0.0
2014-12-31,7350.0,$-700.28,0.0
2014-09-30,9527.0,$-420.17,0.0
