BIT Mining PE Ratio Historical Data,BIT Mining PE Ratio Historical Data,BIT Mining PE Ratio Historical Data,BIT Mining PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.84,,0.0
2024-06-30,2.64,$-0.85,0.0
2023-12-31,5.04,$-1.31,0.0
2023-09-30,2.75,$-12.53,0.0
2023-06-30,2.7,$-14.44,0.0
2023-03-31,2.46,$-17.26,0.0
2022-12-31,1.58,$-17.20,0.0
2022-09-30,2.8,$-6.80,0.0
2022-06-30,6.2,$-9.80,0.0
2022-03-31,27.9,$-9.40,0.0
2021-12-31,61.4,$-8.60,0.0
2021-09-30,81.7,$-9.40,0.0
2021-06-30,78.9,$-5.60,0.0
2021-03-31,213.7,$-5.90,0.0
2020-12-31,90.0,$-7.50,0.0
2020-09-30,30.0,$-15.80,0.0
2020-06-30,38.5,$-17.40,0.0
2020-03-31,45.2,$-19.30,0.0
2019-12-31,86.0,$-21.40,0.0
2019-09-30,106.6,$-19.90,0.0
2019-06-30,106.3,$-20.30,0.0
2019-03-31,139.6,$-17.50,0.0
2018-12-31,75.8,$-16.50,0.0
2018-09-30,110.6,$-12.60,0.0
2018-06-30,147.1,$-11.80,0.0
2018-03-31,171.6,$-11.80,0.0
2017-12-31,101.1,$-11.70,0.0
2017-09-30,110.0,$-7.00,0.0
2017-06-30,108.9,$-7.00,0.0
2017-03-31,134.1,$-6.10,0.0
2016-12-31,153.3,$-7.30,0.0
2016-09-30,176.3,$-11.10,0.0
2016-06-30,166.2,$-11.40,0.0
2016-03-31,167.0,$-14.10,0.0
2015-12-31,201.0,$-13.10,0.0
2015-09-30,162.2,$-8.40,0.0
2015-06-30,248.1,$-3.60,0.0
2015-03-31,107.9,$3.50,30.83
2014-12-31,173.5,$7.10,24.44
2014-09-30,337.3,$11.20,30.12
