Syros Pharmaceuticals PE Ratio Historical Data,Syros Pharmaceuticals PE Ratio Historical Data,Syros Pharmaceuticals PE Ratio Historical Data,Syros Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-19,0.12,,0.0
2024-09-30,2.15,$-3.03,0.0
2024-06-30,5.16,$-4.30,0.0
2024-03-31,5.35,$-5.01,0.0
2023-12-31,7.79,$-5.76,0.0
2023-09-30,3.95,$-3.75,0.0
2023-06-30,3.15,$-5.53,0.0
2023-03-31,2.67,$-9.63,0.0
2022-12-31,3.59,$-12.78,0.0
2022-09-30,6.44,$-16.41,0.0
2022-06-30,9.63,$-17.30,0.0
2022-03-31,11.9,$-15.50,0.0
2021-12-31,32.6,$-13.80,0.0
2021-09-30,44.7,$-16.20,0.0
2021-06-30,54.5,$-16.40,0.0
2021-03-31,74.8,$-16.60,0.0
2020-12-31,108.5,$-18.20,0.0
2020-09-30,88.4,$-16.60,0.0
2020-06-30,106.6,$-17.00,0.0
2020-03-31,59.3,$-17.90,0.0
2019-12-31,69.1,$-18.90,0.0
2019-09-30,103.8,$-19.70,0.0
2019-06-30,92.6,$-19.70,0.0
2019-03-31,91.4,$-19.30,0.0
2018-12-31,55.7,$-19.20,0.0
2018-09-30,119.1,$-19.60,0.0
2018-06-30,102.1,$-20.20,0.0
2018-03-31,129.8,$-21.10,0.0
2017-12-31,97.3,$-21.20,0.0
2017-09-30,147.2,$-20.10,0.0
2017-06-30,160.9,$-21.30,0.0
2017-03-31,159.3,$-70.30,0.0
