Sun Life Financial PE Ratio Historical Data,Sun Life Financial PE Ratio Historical Data,Sun Life Financial PE Ratio Historical Data,Sun Life Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,56.69,,14.76
2024-12-31,59.34,$3.84,15.45
2024-09-30,57.23,$4.49,12.75
2024-06-30,47.79,$3.88,12.32
2024-03-31,53.24,$3.91,13.62
2023-12-31,50.06,$3.88,12.9
2023-09-30,46.57,$4.13,11.28
2023-06-30,49.17,$3.64,13.51
2023-03-31,43.56,$3.86,11.29
2022-12-31,42.83,$4.00,10.71
2022-09-30,36.27,$4.26,8.51
2022-06-30,41.31,$5.03,8.21
2022-03-31,49.79,$5.23,9.52
2021-12-31,49.16,$5.33,9.22
2021-09-30,44.99,$4.85,9.28
2021-06-30,44.7,$4.43,10.09
2021-03-31,43.47,$3.82,11.38
2020-12-31,37.89,$3.07,12.34
2020-09-30,34.39,$3.02,11.39
2020-06-30,30.73,$2.93,10.49
2020-03-31,26.53,$3.04,8.73
2019-12-31,37.32,$3.32,11.24
2019-09-30,36.37,$3.13,11.62
2019-06-30,33.24,$2.97,11.19
2019-03-31,30.57,$3.12,9.8
2018-12-31,26.15,$3.20,8.17
2018-09-30,31.0,$2.74,11.31
2018-06-30,31.01,$3.08,10.07
2018-03-31,31.49,$2.87,10.97
2017-12-31,31.33,$2.69,11.65
2017-09-30,29.96,$3.30,9.08
2017-06-30,26.66,$3.17,8.41
2017-03-31,26.99,$3.08,8.76
2016-12-31,28.12,$3.04,9.25
2016-09-30,23.63,$2.81,8.41
2016-06-30,23.61,$2.49,9.48
2016-03-31,23.0,$2.85,8.07
2015-12-31,22.03,$2.80,7.87
2015-09-30,22.57,$2.80,8.06
2015-06-30,23.15,$2.82,8.21
2015-03-31,21.15,$2.49,8.5
2014-12-31,24.52,$2.49,9.85
2014-09-30,24.45,$2.74,8.92
2014-06-30,24.53,$1.32,18.58
2014-03-31,22.92,$1.31,17.49
2013-12-31,23.16,$1.56,14.85
2013-09-30,20.76,$1.31,15.85
2013-06-30,19.03,$2.75,6.92
2013-03-31,17.11,$2.22,7.71
2012-12-31,16.42,$2.53,6.49
2012-09-30,14.19,$0.98,14.48
2012-06-30,13.08,$-0.72,0.0
2012-03-31,13.77,$-0.10,0.0
2011-12-31,10.58,$-0.48,0.0
2011-09-30,13.35,$1.31,10.19
2011-06-30,16.63,$3.13,5.31
2011-03-31,16.97,$2.78,6.11
2010-12-31,16.08,$2.70,5.95
2010-09-30,13.74,$2.30,5.97
2010-06-30,13.68,$1.31,10.44
2010-03-31,16.5,$1.93,8.55
2009-12-31,14.57,$0.89,16.37
