Covenant Logistics PE Ratio Historical Data,Covenant Logistics PE Ratio Historical Data,Covenant Logistics PE Ratio Historical Data,Covenant Logistics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.69,,17.52
2024-12-31,54.51,$1.30,42.09
2024-09-30,52.84,$1.52,34.76
2024-06-30,49.29,$1.55,31.9
2024-03-31,46.36,$1.56,29.72
2023-12-31,46.04,$2.02,22.85
2023-09-30,43.85,$1.96,22.43
2023-06-30,43.83,$3.16,13.89
2023-03-31,35.42,$3.48,10.18
2022-12-31,34.57,$3.54,9.77
2022-09-30,28.64,$3.66,7.83
2022-06-30,24.97,$2.45,10.19
2022-03-31,21.37,$2.13,10.06
2021-12-31,26.16,$1.79,14.61
2021-09-30,27.37,$0.52,53.14
2021-06-30,20.47,$0.25,83.54
2021-03-31,20.38,$-0.87,0.0
2020-12-31,14.66,$-1.25,0.0
