Bay Commercial Bank PE Ratio Historical Data,Bay Commercial Bank PE Ratio Historical Data,Bay Commercial Bank PE Ratio Historical Data,Bay Commercial Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.61,,12.2
2024-12-31,26.84,$2.10,12.78
2024-09-30,23.6,$2.10,11.24
2024-06-30,20.16,$2.12,9.51
2024-03-31,20.32,$2.21,9.19
2023-12-31,23.02,$2.25,10.23
2023-09-30,18.66,$2.32,8.04
2023-06-30,16.12,$2.30,7.01
2023-03-31,16.41,$2.09,7.85
2022-12-31,18.14,$2.05,8.85
2022-09-30,16.76,$1.94,8.64
2022-06-30,19.66,$1.91,10.29
2022-03-31,20.65,$2.02,10.22
2021-12-31,17.76,$1.91,9.3
2021-09-30,17.6,$1.79,9.83
2021-06-30,16.99,$1.55,10.96
2021-03-31,17.05,$1.32,12.92
2020-12-31,14.36,$1.15,12.48
2020-09-30,9.75,$1.13,8.63
2020-06-30,12.22,$1.32,9.26
2020-03-31,11.4,$1.26,9.05
2019-12-31,21.52,$1.48,14.54
2019-09-30,21.49,$1.35,15.92
2019-06-30,20.73,$1.20,17.27
2019-03-31,21.43,$1.45,14.78
