SAB Biotherapeutics PE Ratio Historical Data,SAB Biotherapeutics PE Ratio Historical Data,SAB Biotherapeutics PE Ratio Historical Data,SAB Biotherapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.59,,0.0
2024-09-30,2.7,$-2.45,0.0
2024-06-30,3.1,$-2.33,0.0
2024-03-31,4.54,$-2.94,0.0
2023-12-31,0.69,$-3.90,0.0
2023-09-30,0.63,$-3.90,0.0
2023-06-30,0.83,$-4.50,0.0
2023-03-31,0.44,$-4.20,0.0
2022-12-31,0.59,$-2.50,0.0
2022-09-30,0.7,$-2.50,0.0
