Interactive Brokers PE Ratio Historical Data,Interactive Brokers PE Ratio Historical Data,Interactive Brokers PE Ratio Historical Data,Interactive Brokers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,175.86,,24.91
2024-12-31,176.67,$7.06,25.02
2024-09-30,139.18,$6.55,21.25
2024-06-30,122.2,$6.30,19.4
2024-03-31,111.13,$5.85,19.0
2023-12-31,82.39,$5.66,14.56
2023-09-30,85.92,$5.49,15.65
2023-06-30,82.36,$4.90,16.81
2023-03-31,81.75,$4.42,18.5
2022-12-31,71.56,$3.74,19.13
2022-09-30,63.13,$3.10,20.37
2022-06-30,54.25,$2.56,21.19
2022-03-31,64.9,$2.84,22.85
2021-12-31,78.08,$3.26,23.95
2021-09-30,61.21,$3.40,18.0
2021-06-30,64.44,$3.55,18.15
2021-03-31,71.5,$2.95,24.24
2020-12-31,59.55,$2.39,24.92
2020-09-30,47.15,$2.15,21.93
2020-06-30,40.68,$2.02,20.14
2020-03-31,41.94,$2.05,20.46
2019-12-31,45.2,$2.09,21.63
2019-09-30,53.98,$2.09,25.83
2019-06-30,53.88,$2.15,25.06
2019-03-31,53.78,$2.30,23.38
2018-12-31,53.69,$2.29,23.44
2018-09-30,53.14,$1.70,31.26
2018-06-30,61.78,$1.62,38.14
2018-03-31,64.41,$1.36,47.36
2017-12-31,56.64,$1.07,52.93
2017-09-30,43.01,$1.16,37.07
2017-06-30,35.64,$1.03,34.61
2017-03-31,32.98,$1.11,29.71
2016-12-31,34.59,$1.28,27.02
2016-09-30,33.32,$1.46,22.82
2016-06-30,33.35,$1.51,22.09
2016-03-31,36.95,$1.48,24.97
2015-12-31,40.86,$0.75,54.48
2015-09-30,36.9,$0.62,59.52
2015-06-30,38.76,$0.32,121.13
2015-03-31,31.64,$0.21,150.67
2014-12-31,27.04,$0.77,35.11
2014-09-30,23.05,$0.72,32.01
2014-06-30,21.43,$0.99,21.64
2014-03-31,19.85,$0.94,21.12
2013-12-31,22.19,$0.74,29.99
2013-09-30,17.04,$0.86,19.82
2013-06-30,14.42,$0.80,18.02
2013-03-31,13.37,$0.76,17.6
2012-12-31,12.19,$0.86,14.17
2012-09-30,11.59,$0.97,11.94
2012-06-30,12.08,$1.21,9.98
2012-03-31,13.85,$1.26,10.99
2011-12-31,12.09,$1.40,8.64
2011-09-30,11.2,$0.44,25.46
2011-06-30,12.5,$0.20,62.5
2011-03-31,12.62,$0.07,180.21
2010-12-31,14.15,$-0.22,0.0
2010-09-30,12.39,$0.50,24.78
2010-06-30,11.95,$0.44,27.16
2010-03-31,11.63,$0.66,17.62
2009-12-31,12.76,$0.87,14.66
