CrossFirst Bankshares PE Ratio Historical Data,CrossFirst Bankshares PE Ratio Historical Data,CrossFirst Bankshares PE Ratio Historical Data,CrossFirst Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-02-28,15.99,,inf
2024-09-30,16.69,0.0,0.0
2024-06-30,14.02,0.0,0.0
2024-03-31,13.84,0.0,0.0
2023-12-31,13.58,0.0,0.0
2023-09-30,10.09,0.0,0.0
2023-06-30,10.0,0.0,0.0
2023-03-31,10.48,0.0,0.0
2022-12-31,12.41,0.0,0.0
2022-09-30,13.05,0.0,0.0
2022-06-30,13.2,0.0,0.0
2022-03-31,15.76,0.0,0.0
2021-12-31,15.61,0.0,0.0
2021-09-30,13.0,0.0,0.0
2021-06-30,13.75,0.0,0.0
2021-03-31,13.79,0.0,0.0
2020-12-31,10.75,0.0,0.0
2020-09-30,8.69,0.0,0.0
2020-06-30,9.78,0.0,0.0
