US Gold Corp PE Ratio Historical Data,US Gold Corp PE Ratio Historical Data,US Gold Corp PE Ratio Historical Data,US Gold Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.5,,0.0
2024-10-31,6.15,$-1.00,0.0
2024-07-31,5.84,$-0.83,0.0
2024-04-30,4.18,$-0.74,0.0
2024-01-31,3.7,$-0.73,0.0
2023-10-31,3.33,$-0.78,0.0
2023-07-31,4.48,$-0.98,0.0
2023-04-30,4.31,$-0.90,0.0
2023-01-31,4.61,$-0.89,0.0
2022-10-31,3.69,$-1.27,0.0
2022-07-31,4.15,$-1.65,0.0
2022-04-30,5.65,$-1.92,0.0
2022-01-31,6.63,$-1.74,0.0
2021-10-31,9.92,$-1.80,0.0
2021-07-31,10.16,$-4.12,0.0
2021-04-30,11.0,$-3.95,0.0
2021-01-31,10.99,$-3.93,0.0
2020-10-31,8.11,$-3.66,0.0
2020-07-31,8.13,$-0.73,0.0
2020-04-30,5.11,$-2.10,0.0
2020-01-31,8.08,$-2.80,0.0
2019-10-31,7.96,$-3.50,0.0
2019-07-31,9.9,$-5.20,0.0
2019-04-30,11.7,$-4.30,0.0
2019-01-31,9.85,$-3.60,0.0
2018-10-31,10.4,$-2.50,0.0
2018-07-31,12.7,$-0.80,0.0
2018-04-30,13.6,$-10.00,0.0
2018-01-31,25.5,$-10.00,0.0
2017-10-31,12.0,$-15.20,0.0
2017-07-31,25.5,$-18.00,0.0
2017-04-30,48.0,$-25.20,0.0
2017-01-31,57.2,$-42.00,0.0
2016-10-31,41.2,$-50.00,0.0
2016-07-31,72.0,$-48.40,0.0
2016-04-30,74.39,$-38.40,0.0
2016-01-31,91.2,$-60.01,0.0
2015-10-31,133.2,$-154.82,0.0
2015-07-31,229.2,$-229.22,0.0
2015-04-30,260.4,$-260.43,0.0
2015-01-31,289.2,$-250.83,0.0
2014-10-31,263.99,$-190.82,0.0
2014-07-31,363.6,$-136.81,0.0
2014-04-30,322.8,$-158.42,0.0
2014-01-31,304.8,$-240.02,0.0
2013-10-31,292.8,$-244.82,0.0
2013-07-31,368.52,$-309.61,0.0
2013-04-30,250.8,$-314.41,0.0
2013-01-31,302.4,$-2.42,0.0
2012-10-31,396.0,$-230.39,0.0
2012-07-31,460.8,$-223.19,0.0
2012-04-30,748.8,$-215.98,0.0
2012-01-31,590.18,$-482.35,0.0
2011-10-31,871.2,$-266.37,0.0
2011-07-31,1123.2,$-323.97,0.0
2011-04-30,1382.4,$-367.16,0.0
2011-01-31,1634.33,$-431.96,0.0
2010-10-31,1756.8,$-431.96,0.0
2010-07-31,1317.6,$-424.76,0.0
2010-04-30,1713.6,$-403.16,0.0
2010-01-31,2008.8,$-367.16,0.0
2009-10-31,1936.8,$-388.76,0.0
