"BK TECHNOLOGIES, INC PE Ratio Historical Data","BK TECHNOLOGIES, INC PE Ratio Historical Data","BK TECHNOLOGIES, INC PE Ratio Historical Data","BK TECHNOLOGIES, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.95,,23.32
2024-09-30,21.77,$1.37,15.89
2024-06-30,12.8,$0.77,16.62
2024-03-31,14.6,$-0.09,0.0
2023-12-31,12.23,$-0.35,0.0
2023-09-30,12.42,$-0.73,0.0
2023-06-30,16.56,$-1.46,0.0
2023-03-31,2.85,$-2.37,0.0
2022-12-31,3.32,$-3.45,0.0
2022-09-30,2.41,$-3.25,0.0
2022-06-30,2.62,$-3.30,0.0
2022-03-31,2.49,$-1.40,0.0
2021-12-31,2.33,$-0.55,0.0
2021-09-30,2.71,$-0.05,0.0
2021-06-30,3.0,$0.95,3.16
2021-03-31,3.96,$0.25,15.86
2020-12-31,2.87,$0.10,28.74
2020-09-30,2.73,$-0.80,0.0
2020-06-30,3.15,$-0.95,0.0
2020-03-31,1.54,$-0.95,0.0
2019-12-31,2.83,$-1.00,0.0
2019-09-30,3.07,$-1.00,0.0
2019-06-30,3.9,$-0.85,0.0
2019-03-31,3.84,$-0.40,0.0
2018-12-31,3.37,$-0.05,0.0
2018-09-30,3.62,$0.45,8.05
2018-06-30,3.29,$0.40,8.23
2018-03-31,3.5,$0.55,6.36
2017-12-31,3.13,$0.25,12.51
2017-09-30,3.15,$0.30,10.51
2017-06-30,3.27,$0.35,9.33
2017-03-31,4.33,$0.35,12.38
2016-12-31,4.04,$1.00,4.04
2016-09-30,4.46,$1.05,4.25
2016-06-30,4.18,$0.90,4.65
2016-03-31,3.65,$0.45,8.11
2015-12-31,3.18,$0.45,7.07
2015-09-30,3.55,$0.30,11.84
2015-06-30,3.98,$0.45,8.85
2015-03-31,4.93,$0.65,7.58
2014-12-31,3.88,$0.60,6.46
2014-09-30,4.17,$0.65,6.41
2014-06-30,3.12,$0.60,5.2
2014-03-31,2.54,$0.40,6.36
2013-12-31,2.72,$0.40,6.8
2013-09-30,2.13,$0.50,4.26
2013-06-30,2.42,$0.65,3.73
2013-03-31,1.83,$1.05,1.74
2012-12-31,1.36,$0.75,1.81
2012-09-30,1.43,$0.70,2.04
2012-06-30,1.32,$0.70,1.89
2012-03-31,1.32,$-0.05,0.0
2011-12-31,0.89,$-0.15,0.0
2011-09-30,0.79,$-0.60,0.0
2011-06-30,1.12,$-0.90,0.0
2011-03-31,1.28,$-0.50,0.0
2010-12-31,1.45,$-0.25,0.0
2010-09-30,1.69,$0.30,5.62
2010-06-30,1.75,$0.60,2.92
2010-03-31,3.01,$1.25,2.41
2009-12-31,2.54,$0.95,2.67
