Baker Hughes PE Ratio Historical Data,Baker Hughes PE Ratio Historical Data,Baker Hughes PE Ratio Historical Data,Baker Hughes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,44.69,,15.0
2024-12-31,41.02,$2.98,13.77
2024-09-30,35.95,$2.23,16.12
2024-06-30,34.76,$1.97,17.65
2024-03-31,32.9,$1.79,18.38
2023-12-31,33.33,$1.91,17.45
2023-09-30,34.24,$1.66,20.63
2023-06-30,30.48,$1.13,26.97
2023-03-31,27.64,$-0.11,0.0
2022-12-31,28.11,$-0.60,0.0
2022-09-30,19.82,$-0.46,0.0
2022-06-30,27.1,$-0.43,0.0
2022-03-31,34.01,$0.33,103.07
2021-12-31,22.33,$-0.36,0.0
2021-09-30,22.79,$0.23,99.08
2021-06-30,20.9,$-0.03,0.0
2021-03-31,19.6,$-0.26,0.0
2020-12-31,18.77,$-15.29,0.0
2020-09-30,11.82,$-16.13,0.0
2020-06-30,13.55,$-15.77,0.0
2020-03-31,9.13,$-15.48,0.0
2019-12-31,22.11,$0.22,100.5
2019-09-30,19.85,$0.43,46.17
2019-06-30,20.91,$0.35,59.75
2019-03-31,23.36,$0.32,72.99
2018-12-31,17.98,$0.43,41.82
2018-09-30,28.08,$0.08,350.99
2018-06-30,27.27,$-0.19,0.0
2018-03-31,22.82,$-0.56,0.0
2017-12-31,25.85,$-1.03,0.0
2017-09-30,29.74,$-1.94,0.0
2017-06-30,29.97,$-2.70,0.0
2017-03-31,32.89,$-4.36,0.0
2016-12-31,35.73,$-6.28,0.0
2016-09-30,27.75,$-7.65,0.0
2016-06-30,24.82,$-7.01,0.0
2016-03-31,24.1,$-5.36,0.0
2015-12-31,25.38,$-4.49,0.0
2015-09-30,28.62,$-0.62,0.0
2015-06-30,33.93,$0.60,56.55
2015-03-31,34.96,$1.83,19.11
2014-12-31,30.83,$3.92,7.87
2014-09-30,35.78,$2.96,12.09
2014-06-30,40.94,$2.87,14.26
2014-03-31,35.75,$2.61,13.7
2013-12-31,30.39,$2.47,12.3
2013-09-30,26.93,$2.40,11.22
2013-06-30,25.22,$2.26,11.16
2013-03-31,25.29,$2.72,9.3
2012-12-31,22.19,$2.98,7.45
2012-09-30,24.48,$3.21,7.63
2012-06-30,22.17,$4.19,5.29
2012-03-31,22.55,$3.96,5.69
2011-12-31,26.07,$3.97,6.57
2011-09-30,24.67,$4.02,6.14
2011-06-30,38.7,$3.00,12.9
2011-03-31,39.08,$2.46,15.89
2010-12-31,30.36,$2.00,15.18
2010-09-30,22.55,$1.50,15.03
2010-06-30,21.94,$1.09,20.13
2010-03-31,24.64,$1.14,21.61
2009-12-31,21.22,$1.36,15.61
