Forum Energy Technologies PE Ratio Historical Data,Forum Energy Technologies PE Ratio Historical Data,Forum Energy Technologies PE Ratio Historical Data,Forum Energy Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.03,,0.0
2024-12-31,15.49,$-10.98,0.0
2024-09-30,15.46,$-4.23,0.0
2024-06-30,16.86,$-2.26,0.0
2024-03-31,19.98,$-2.36,0.0
2023-12-31,22.17,$-1.85,0.0
2023-09-30,24.02,$-2.43,0.0
2023-06-30,25.59,$-1.38,0.0
2023-03-31,25.43,$0.41,62.02
2022-12-31,29.5,$-0.87,0.0
2022-09-30,21.24,$-2.11,0.0
2022-06-30,19.62,$-5.98,0.0
2022-03-31,22.9,$-11.00,0.0
2021-12-31,16.05,$-14.66,0.0
2021-09-30,22.54,$-17.05,0.0
2021-06-30,23.48,$-18.80,0.0
2021-03-31,18.54,$-15.93,0.0
2020-12-31,11.9,$-17.25,0.0
2020-09-30,10.99,$-13.60,0.0
2020-06-30,10.56,$-106.40,0.0
2020-03-31,3.55,$-107.80,0.0
2019-12-31,33.6,$-102.60,0.0
2019-09-30,31.0,$-170.80,0.0
2019-06-30,68.4,$-74.80,0.0
2019-03-31,102.2,$-75.20,0.0
2018-12-31,82.6,$-68.80,0.0
2018-09-30,207.0,$11.00,18.82
2018-06-30,247.0,$8.60,28.72
2018-03-31,220.0,$-4.80,0.0
2017-12-31,311.0,$-13.00,0.0
2017-09-30,318.0,$-25.20,0.0
2017-06-30,312.0,$-26.20,0.0
2017-03-31,414.0,$-16.20,0.0
2016-12-31,440.0,$-18.00,0.0
2016-09-30,397.2,$-51.40,0.0
2016-06-30,346.2,$-46.00,0.0
2016-03-31,264.0,$-37.80,0.0
2015-12-31,249.2,$-26.60,0.0
2015-09-30,244.2,$19.40,12.59
2015-06-30,405.6,$28.80,14.08
2015-03-31,392.0,$35.00,11.2
2014-12-31,414.6,$36.40,11.39
2014-09-30,612.2,$33.80,18.11
2014-06-30,728.6,$30.00,24.29
2014-03-31,619.6,$28.20,21.97
2013-12-31,565.2,$27.40,20.63
2013-09-30,540.2,$25.40,21.27
2013-06-30,608.6,$27.20,22.38
2013-03-31,575.2,$30.60,18.8
