Cheetah Mobile PE Ratio Historical Data,Cheetah Mobile PE Ratio Historical Data,Cheetah Mobile PE Ratio Historical Data,Cheetah Mobile PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.98,,0.0
2024-09-30,4.27,$-1.19,0.0
2024-06-30,3.98,$-0.96,0.0
2024-03-31,3.01,$-0.63,0.0
2023-06-30,2.33,$-0.25,0.0
2021-12-31,6.85,$0.15,45.67
2021-09-30,8.15,$0.50,16.3
2021-06-30,11.85,$2.10,5.64
2021-03-31,11.25,$3.10,3.63
2020-12-31,9.0,$2.15,4.19
2020-09-30,10.3,$-2.50,0.0
2020-06-30,8.6,$-1.60,0.0
2020-03-31,6.27,$-2.40,0.0
2019-12-31,10.89,$-1.85,0.0
2019-09-30,10.74,$6.35,1.69
2019-06-30,9.44,$4.90,1.93
2019-03-31,17.07,$5.65,3.02
2018-12-31,16.24,$6.00,2.71
2018-09-30,26.13,$7.70,3.39
2018-06-30,25.41,$7.60,3.34
2018-03-31,35.54,$7.00,5.08
2017-12-31,32.11,$7.10,4.52
2017-09-30,22.36,$1.80,12.42
2017-06-30,28.66,$1.10,26.05
2017-03-31,28.55,$-0.05,0.0
2016-12-31,25.41,$-0.45,0.0
2016-09-30,33.12,$-0.45,0.0
2016-06-30,25.25,$-0.30,0.0
2016-03-31,43.41,$0.85,51.07
2015-12-31,42.59,$0.95,44.83
2015-09-30,38.44,$0.85,45.22
2015-06-30,76.32,$0.75,101.76
2015-03-31,45.43,$0.50,90.86
