United Rentals PE Ratio Historical Data,United Rentals PE Ratio Historical Data,United Rentals PE Ratio Historical Data,United Rentals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,630.69,,16.28
2024-12-31,704.44,$38.75,18.18
2024-09-30,808.2,$38.29,21.11
2024-06-30,644.01,$37.88,17.0
2024-03-31,716.35,$36.92,19.4
2023-12-31,568.18,$35.35,16.07
2023-09-30,439.03,$34.49,12.73
2023-06-30,438.47,$32.86,13.34
2023-03-31,387.94,$31.18,12.44
2022-12-31,347.27,$29.76,11.67
2022-09-30,263.93,$27.22,9.7
2022-06-30,237.34,$24.19,9.81
2022-03-31,347.07,$21.31,16.29
2021-12-31,324.67,$19.06,17.03
2021-09-30,342.89,$16.54,20.73
2021-06-30,311.7,$13.78,22.62
2021-03-31,321.76,$12.69,25.36
2020-12-31,226.59,$12.22,18.54
2020-09-30,170.5,$12.62,13.51
2020-06-30,145.62,$14.83,9.82
2020-03-31,100.54,$15.34,6.55
2019-12-31,162.95,$15.20,10.72
2019-09-30,121.78,$14.51,8.39
2019-06-30,129.59,$13.44,9.64
2019-03-31,111.63,$13.20,8.46
2018-12-31,100.18,$13.16,7.61
2018-09-30,159.85,$19.81,8.07
2018-06-30,144.24,$18.13,7.96
2018-03-31,168.77,$16.58,10.18
2017-12-31,167.97,$15.71,10.69
2017-09-30,135.56,$7.06,19.2
2017-06-30,110.13,$6.89,15.98
2017-03-31,122.18,$6.76,18.07
2016-12-31,103.16,$6.49,15.9
2016-09-30,76.69,$6.50,11.8
2016-06-30,65.56,$6.59,9.95
2016-03-31,60.76,$5.95,10.21
2015-12-31,70.88,$6.10,11.62
2015-09-30,58.67,$6.17,9.51
2015-06-30,85.61,$5.76,14.86
2015-03-31,89.07,$5.78,15.41
2014-12-31,99.67,$5.18,19.24
2014-09-30,108.55,$4.61,23.55
2014-06-30,102.33,$4.12,24.84
2014-03-31,92.76,$4.00,23.19
2013-12-31,76.16,$3.63,20.98
2013-09-30,56.95,$2.72,20.94
2013-06-30,48.77,$2.07,23.56
2013-03-31,53.71,$0.66,81.38
2012-12-31,44.48,$0.64,69.49
2012-09-30,31.96,$0.63,50.73
2012-06-30,33.26,$0.84,39.59
2012-03-31,41.91,$1.84,22.78
2011-12-31,28.87,$1.33,21.71
2011-09-30,16.45,$0.59,27.89
2011-06-30,24.82,$0.01,2481.77
2011-03-31,32.52,$-0.18,0.0
2010-12-31,22.23,$-0.51,0.0
2010-09-30,14.5,$-0.59,0.0
2010-06-30,9.11,$-0.92,0.0
2010-03-31,9.17,$-1.38,0.0
2009-12-31,9.59,$-1.03,0.0
