First Northwest Bancorp PE Ratio Historical Data,First Northwest Bancorp PE Ratio Historical Data,First Northwest Bancorp PE Ratio Historical Data,First Northwest Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.31,,0.0
2024-12-31,10.2,$-0.35,0.0
2024-09-30,10.63,$-0.65,0.0
2024-06-30,9.56,$-0.14,0.0
2024-03-31,15.33,$-0.10,0.0
2023-12-31,15.53,$0.25,62.14
2023-09-30,11.89,$1.53,7.77
2023-06-30,10.97,$1.72,6.38
2023-03-31,11.01,$1.79,6.15
2022-12-31,14.64,$1.70,8.61
2022-09-30,15.28,$1.60,9.55
2022-06-30,14.74,$1.58,9.33
2022-03-31,20.79,$1.63,12.76
2021-12-31,18.96,$1.67,11.35
2021-09-30,16.42,$1.52,10.8
2021-06-30,16.36,$1.47,11.13
2021-03-31,15.43,$1.36,11.35
2020-12-31,14.43,$1.11,13.0
2020-09-30,9.12,$0.93,9.81
2020-06-30,11.39,$0.78,14.61
2020-03-31,9.93,$0.78,12.72
2019-12-31,16.51,$0.91,18.14
2019-09-30,15.73,$0.89,17.68
2019-06-30,14.73,$0.83,17.75
2019-03-31,14.09,$0.77,18.3
2018-12-31,13.39,$0.69,19.41
2018-09-30,13.91,$0.48,28.97
2018-06-30,14.42,$0.46,31.35
2018-03-31,15.25,$0.41,37.2
2017-12-31,14.72,$0.47,31.32
2017-09-30,15.44,$0.58,26.63
2017-06-30,14.24,$0.47,30.3
2017-03-31,14.0,$0.37,37.83
2016-12-31,14.09,$0.17,82.87
2016-09-30,12.18,$0.06,203.05
2016-06-30,11.51,0,0.0
2016-03-31,11.62,0,0.0
2015-12-31,12.78,0,0.0
