Blackbaud PE Ratio Historical Data,Blackbaud PE Ratio Historical Data,Blackbaud PE Ratio Historical Data,Blackbaud PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,63.93,,0.0
2024-12-31,73.92,$-5.90,0.0
2024-09-30,84.68,$1.02,83.02
2024-06-30,76.17,$0.79,96.42
2024-03-31,74.14,$0.41,180.83
2023-12-31,86.7,$0.03,2890.0
2023-09-30,70.32,$-0.48,0.0
2023-06-30,71.18,$-0.85,0.0
2023-03-31,69.3,$-0.96,0.0
2022-12-31,58.86,$-0.88,0.0
2022-09-30,44.06,$-0.62,0.0
2022-06-30,58.07,$-0.29,0.0
2022-03-31,59.87,$-0.08,0.0
2021-12-31,78.98,$0.12,658.17
2021-09-30,70.35,$-0.01,0.0
2021-06-30,76.57,$-0.04,0.0
2021-03-31,71.08,$0.06,1184.67
2020-12-31,57.56,$0.16,359.75
2020-09-30,55.83,$0.47,118.79
2020-06-30,57.08,$0.46,124.09
2020-03-31,55.55,$0.37,150.14
2019-12-31,79.46,$0.25,317.85
2019-09-30,90.05,$0.41,219.64
2019-06-30,83.12,$0.55,151.13
2019-03-31,79.24,$0.54,146.75
2018-12-31,62.42,$0.93,67.12
2018-09-30,100.53,$1.38,72.85
2018-06-30,101.38,$1.41,71.9
2018-03-31,100.62,$1.50,67.08
2017-12-31,93.28,$1.37,68.08
2017-09-30,86.57,$1.09,79.42
2017-06-30,84.43,$1.02,82.77
2017-03-31,75.38,$0.96,78.52
2016-12-31,62.82,$0.83,75.68
2016-09-30,65.0,$0.61,106.55
2016-06-30,66.41,$0.59,112.56
2016-03-31,61.39,$0.57,107.7
2015-12-31,64.15,$0.55,116.64
2015-09-30,54.56,$0.51,106.97
2015-06-30,55.25,$0.57,96.93
2015-03-31,45.86,$0.62,73.96
2014-12-31,41.76,$0.61,68.46
2014-09-30,37.82,$0.77,49.12
2014-06-30,34.29,$0.75,45.72
2014-03-31,29.93,$0.70,42.75
2013-12-31,35.87,$0.68,52.74
2013-09-30,37.07,$0.49,75.64
2013-06-30,30.82,$0.34,90.64
2013-03-31,27.92,$0.14,199.44
2012-12-31,21.42,$0.14,153.01
2012-09-30,22.32,$0.21,106.3
2012-06-30,23.84,$0.37,64.43
2012-03-31,30.72,$0.62,49.55
2011-12-31,25.51,$0.73,34.95
2011-09-30,20.42,$0.79,25.84
2011-06-30,25.28,$0.77,32.84
2011-03-31,24.74,$0.72,34.36
2010-12-31,23.41,$0.68,34.43
2010-09-30,21.63,$0.66,32.78
2010-06-30,19.49,$0.68,28.66
2010-03-31,22.47,$0.68,33.04
2009-12-31,20.96,$0.65,32.24
