BARK PE Ratio Historical Data,BARK PE Ratio Historical Data,BARK PE Ratio Historical Data,BARK PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.38,,0.0
2024-12-31,1.84,$-0.19,0.0
2024-09-30,1.63,$-0.18,0.0
2024-06-30,1.81,$-0.21,0.0
2024-03-31,1.24,$-0.22,0.0
2023-12-31,0.81,$-0.27,0.0
2023-09-30,1.2,$-0.33,0.0
2023-06-30,1.33,$-0.33,0.0
2023-03-31,1.45,$-0.35,0.0
2022-12-31,1.49,$-0.48,0.0
2022-09-30,1.82,$-0.44,0.0
2022-06-30,1.28,$-0.34,0.0
2022-03-31,3.7,$-0.48,0.0
