GameSquare Holdings PE Ratio Historical Data,GameSquare Holdings PE Ratio Historical Data,GameSquare Holdings PE Ratio Historical Data,GameSquare Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.8,,0.0
2024-09-30,0.73,$-0.86,0.0
2024-06-30,1.2,$-1.07,0.0
2024-03-31,1.38,$-1.03,0.0
2023-12-31,1.81,$-1.19,0.0
2023-09-30,2.18,$-1.19,0.0
2023-06-30,3.01,$-2.16,0.0
2023-03-31,1.35,$-1.82,0.0
2023-02-28,1.72,$-4.00,0.0
2022-12-31,0.98,$-4.00,0.0
2022-11-30,0.59,$-0.72,0.0
2022-09-30,0.56,$-0.72,0.0
2022-08-31,0.72,$1.92,0.37
2022-06-30,0.8,$1.92,0.42
2022-05-31,0.96,0,0.0
