Federal Signal PE Ratio Historical Data,Federal Signal PE Ratio Historical Data,Federal Signal PE Ratio Historical Data,Federal Signal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,75.88,,21.62
2024-12-31,92.39,$3.51,26.32
2024-09-30,93.33,$3.45,27.05
2024-06-30,83.45,$3.29,25.37
2024-03-31,84.53,$2.96,28.56
2023-12-31,76.32,$2.57,29.7
2023-09-30,59.31,$2.39,24.82
2023-06-30,63.48,$2.20,28.85
2023-03-31,53.64,$2.09,25.67
2022-12-31,45.9,$1.97,23.3
2022-09-30,36.8,$1.72,21.39
2022-06-30,35.03,$1.67,20.98
2022-03-31,33.12,$1.60,20.7
2021-12-31,42.42,$1.63,26.02
2021-09-30,37.72,$1.73,21.81
2021-06-30,39.21,$1.67,23.48
2021-03-31,37.24,$1.54,24.18
2020-12-31,32.18,$1.56,20.63
2020-09-30,28.31,$1.62,17.47
2020-06-30,28.7,$1.67,17.19
2020-03-31,26.26,$1.86,14.12
2019-12-31,30.95,$1.77,17.49
2019-09-30,31.34,$1.82,17.22
2019-06-30,25.54,$1.72,14.85
2019-03-31,24.74,$1.62,15.27
2018-12-31,18.88,$1.54,12.26
2018-09-30,25.32,$1.51,16.77
2018-06-30,21.95,$1.36,16.14
2018-03-31,20.68,$1.11,18.63
2017-12-31,18.81,$1.02,18.44
2017-09-30,19.86,$0.73,27.2
2017-06-30,16.14,$0.66,24.45
2017-03-31,12.79,$0.62,20.62
2016-12-31,14.38,$0.72,19.97
2016-09-30,12.16,$0.69,17.62
2016-06-30,11.74,$0.85,13.82
2016-03-31,12.02,$0.99,12.15
2015-12-31,14.31,$1.00,14.31
2015-09-30,12.32,$1.19,10.36
2015-06-30,13.35,$1.13,11.81
2015-03-31,14.08,$1.11,12.68
2014-12-31,13.71,$1.00,13.71
2014-09-30,11.74,$1.05,11.18
2014-06-30,12.96,$1.06,12.22
2014-03-31,13.15,$2.66,4.94
2013-12-31,12.93,$2.53,5.11
2013-09-30,11.36,$2.19,5.19
2013-06-30,7.72,$1.70,4.54
2013-03-31,7.18,$-0.43,0.0
2012-12-31,6.72,$-0.43,0.0
2012-09-30,5.58,$-0.78,0.0
2012-06-30,5.15,$-0.51,0.0
2012-03-31,4.91,$-0.15,0.0
2011-12-31,3.66,$-0.23,0.0
2011-09-30,3.9,$-2.68,0.0
2011-06-30,5.79,$-2.67,0.0
2011-03-31,5.75,$-2.78,0.0
2010-12-31,6.05,$-2.76,0.0
2010-09-30,4.72,$0.42,11.23
2010-06-30,5.23,$0.47,11.12
2010-03-31,7.73,$0.38,20.34
2009-12-31,5.13,$0.47,10.91
