Indaptus Therapeutics PE Ratio Historical Data,Indaptus Therapeutics PE Ratio Historical Data,Indaptus Therapeutics PE Ratio Historical Data,Indaptus Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.76,,0.0
2024-12-31,0.84,$-1.24,0.0
2024-09-30,1.24,$-1.71,0.0
2024-06-30,2.12,$-1.86,0.0
2024-03-31,2.24,$-1.78,0.0
2023-12-31,1.76,$-1.84,0.0
2023-09-30,2.76,$-1.81,0.0
2023-06-30,1.91,$-1.76,0.0
2023-03-31,1.85,$-1.83,0.0
2022-12-31,1.45,$-1.73,0.0
2022-09-30,2.16,$-1.29,0.0
2022-06-30,2.61,$-1.68,0.0
2022-03-31,4.0,$-6.75,0.0
2021-12-31,5.7,$-10.18,0.0
2021-09-30,7.83,$-13.10,0.0
2021-06-30,13.88,$-16.09,0.0
2021-03-31,17.48,$-14.56,0.0
2020-12-31,13.8,$-17.12,0.0
2020-09-30,20.13,$-28.60,0.0
2020-06-30,22.66,$-73.60,0.0
2020-03-31,15.76,$-93.60,0.0
2019-12-31,40.0,$-112.80,0.0
2019-09-30,58.31,$-128.80,0.0
2019-06-30,347.2,$-102.40,0.0
2019-03-31,586.4,$-105.60,0.0
2018-12-31,603.2,$-112.80,0.0
2018-09-30,452.0,$-113.60,0.0
2018-06-30,352.0,$-123.20,0.0
2018-03-31,506.0,$-133.60,0.0
2017-12-31,412.0,$-100.80,0.0
2017-09-30,716.0,$-69.60,0.0
2017-06-30,456.0,$-52.00,0.0
2017-03-31,409.02,$-27.20,0.0
