Aprea Therapeutics PE Ratio Historical Data,Aprea Therapeutics PE Ratio Historical Data,Aprea Therapeutics PE Ratio Historical Data,Aprea Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.42,,0.0
2024-09-30,2.75,$-2.81,0.0
2024-06-30,4.07,$-3.03,0.0
2024-03-31,6.69,$-3.32,0.0
2023-12-31,4.7,$-3.99,0.0
2023-09-30,4.17,$-3.99,0.0
2023-06-30,3.15,$-5.53,0.0
2023-03-31,4.44,$-91.46,0.0
2022-12-31,6.62,$-97.32,0.0
2022-09-30,13.0,$-103.60,0.0
2022-06-30,15.0,$-110.20,0.0
2022-03-31,37.2,$-33.00,0.0
2021-12-31,57.4,$-35.00,0.0
2021-09-30,102.2,$-42.40,0.0
2021-06-30,97.6,$-45.00,0.0
2021-03-31,102.0,$-51.00,0.0
2020-12-31,98.4,$-50.80,0.0
2020-09-30,481.2,$-49.00,0.0
