Priority Technology Holdings PE Ratio Historical Data,Priority Technology Holdings PE Ratio Historical Data,Priority Technology Holdings PE Ratio Historical Data,Priority Technology Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.03,,0.0
2024-12-31,11.75,$-0.31,0.0
2024-09-30,6.83,$-0.42,0.0
2024-06-30,5.28,$-0.65,0.0
2024-03-31,3.27,$-0.58,0.0
2023-12-31,3.56,$-0.63,0.0
2023-09-30,3.24,$-0.62,0.0
2023-06-30,3.62,$-0.59,0.0
2023-03-31,3.59,$-0.54,0.0
2022-12-31,5.26,$-0.50,0.0
2022-09-30,4.51,$-0.24,0.0
2022-06-30,3.3,$-0.20,0.0
2022-03-31,5.75,$-0.44,0.0
2021-12-31,7.08,$-0.37,0.0
2021-09-30,6.68,$-0.49,0.0
2021-06-30,7.64,$0.20,38.2
2021-03-31,6.94,$0.43,16.14
2020-12-31,7.04,$0.38,18.53
2020-09-30,3.16,$0.28,11.27
