Orions PE Ratio Historical Data,Orions PE Ratio Historical Data,Orions PE Ratio Historical Data,Orions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.89,,0.0
2024-12-31,7.33,$-0.10,0.0
2024-09-30,5.77,$-0.40,0.0
2024-06-30,9.51,$-0.54,0.0
2024-03-31,8.2,$-0.35,0.0
2023-12-31,4.94,$-0.55,0.0
2023-09-30,5.36,$-0.57,0.0
2023-06-30,2.81,$-0.54,0.0
2023-03-31,2.59,$-0.63,0.0
2022-12-31,2.38,$-0.40,0.0
2022-09-30,2.64,$-0.54,0.0
2022-06-30,2.28,$-0.88,0.0
2022-03-31,2.48,$-0.67,0.0
2021-12-31,3.77,$-0.48,0.0
2021-09-30,5.44,$-0.07,0.0
2021-06-30,5.75,$0.65,8.85
2021-03-31,6.07,$0.61,9.95
2020-12-31,4.96,$0.67,7.4
2020-09-30,2.75,$0.56,4.91
2020-06-30,3.14,$0.31,10.13
2020-03-31,2.6,$0.18,14.44
2019-12-31,5.19,$-0.18,0.0
2019-09-30,4.5,$-3.51,0.0
2019-06-30,2.68,$-3.87,0.0
2019-03-31,2.92,$-3.73,0.0
2018-12-31,4.29,$-3.32,0.0
2018-09-30,7.55,$0.34,22.21
2018-06-30,8.26,$0.38,21.74
2018-03-31,6.59,$0.22,29.95
2017-12-31,7.83,$0.01,783.0
2017-09-30,6.56,$-0.56,0.0
2017-06-30,7.47,$-0.21,0.0
2017-03-31,7.47,$-0.16,0.0
2016-12-31,9.95,$-0.13,0.0
2016-09-30,6.85,$0.15,45.67
2016-06-30,5.31,$-0.29,0.0
2016-03-31,5.18,$-0.33,0.0
2015-12-31,4.17,$-0.30,0.0
2015-09-30,5.98,$-0.16,0.0
2015-06-30,7.22,$0.22,32.82
2015-03-31,8.86,$0.25,35.44
2014-12-31,11.05,$0.25,44.2
2014-09-30,9.98,$0.14,71.29
2014-06-30,10.83,0,0.0
2014-03-31,12.57,$0.05,251.4
2013-12-31,12.03,$0.02,601.5
2013-09-30,10.41,$-0.01,0.0
2013-06-30,12.09,$-0.04,0.0
2013-03-31,9.94,$-0.25,0.0
2012-12-31,7.31,$-0.44,0.0
2012-09-30,7.43,$-0.68,0.0
2012-06-30,6.96,$-0.85,0.0
2012-03-31,7.23,$-0.77,0.0
2011-12-31,6.65,$-0.48,0.0
2011-09-30,5.77,$-0.18,0.0
2011-06-30,9.41,$0.31,30.35
2011-03-31,10.74,$0.69,15.57
2010-12-31,11.6,$0.81,14.32
2010-09-30,12.41,$0.85,14.6
2010-06-30,14.2,$0.81,17.53
2010-03-31,18.05,$0.83,21.75
2009-12-31,21.06,$0.85,24.78
