Curis PE Ratio Historical Data,Curis PE Ratio Historical Data,Curis PE Ratio Historical Data,Curis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.75,,0.0
2024-09-30,5.39,$-7.81,0.0
2024-06-30,6.9,$-8.24,0.0
2024-03-31,10.87,$-8.61,0.0
2023-12-31,12.75,$-8.96,0.0
2023-09-30,6.59,$-9.33,0.0
2023-06-30,16.6,$-10.00,0.0
2023-03-31,11.92,$-11.00,0.0
2022-12-31,11.0,$-12.20,0.0
2022-09-30,14.0,$-12.80,0.0
2022-06-30,19.69,$-12.40,0.0
2022-03-31,47.6,$-11.40,0.0
2021-12-31,95.2,$-10.00,0.0
2021-09-30,156.6,$-9.20,0.0
2021-06-30,161.4,$-9.00,0.0
2021-03-31,226.4,$-10.00,0.0
2020-12-31,163.8,$-13.40,0.0
2020-09-30,23.4,$-16.40,0.0
2020-06-30,24.2,$-18.00,0.0
2020-03-31,14.08,$-19.00,0.0
2019-12-31,34.0,$-19.40,0.0
2019-09-30,44.8,$-17.80,0.0
2019-06-30,37.2,$-18.40,0.0
2019-03-31,39.8,$-19.20,0.0
2018-12-31,13.8,$-20.20,0.0
2018-09-30,35.6,$-21.60,0.0
2018-06-30,34.6,$-28.20,0.0
2018-03-31,65.33,$-33.00,0.0
2017-12-31,70.0,$-37.00,0.0
2017-09-30,149.0,$-40.00,0.0
2017-06-30,189.0,$-50.00,0.0
2017-03-31,278.0,$-49.00,0.0
2016-12-31,308.0,$-45.00,0.0
2016-09-30,261.0,$-47.00,0.0
2016-06-30,156.0,$-30.00,0.0
2016-03-31,161.0,$-27.00,0.0
2015-12-31,291.0,$-50.00,0.0
2015-09-30,202.0,$-47.00,0.0
2015-06-30,331.0,$-49.00,0.0
2015-03-31,240.0,$-45.00,0.0
2014-12-31,150.0,$-21.00,0.0
2014-09-30,141.0,$-19.00,0.0
2014-06-30,186.0,$-15.00,0.0
2014-03-31,282.0,$-15.00,0.0
2013-12-31,282.0,$-15.00,0.0
2013-09-30,446.0,$-25.00,0.0
2013-06-30,319.0,$-27.00,0.0
2013-03-31,328.0,$-29.00,0.0
2012-12-31,343.0,$-20.00,0.0
2012-09-30,414.0,$2.00,207.0
2012-06-30,540.0,$1.00,540.0
2012-03-31,482.0,$-1.00,0.0
2011-12-31,468.0,$-13.00,0.0
2011-09-30,316.0,$-27.00,0.0
2011-06-30,358.0,$-24.00,0.0
2011-03-31,325.0,$-21.00,0.0
2010-12-31,198.0,$-6.00,0.0
2010-09-30,137.0,$-3.00,0.0
2010-06-30,139.0,$-7.00,0.0
2010-03-31,307.0,$-11.00,0.0
2009-12-31,325.0,$-15.00,0.0
