Summit State Bank PE Ratio Historical Data,Summit State Bank PE Ratio Historical Data,Summit State Bank PE Ratio Historical Data,Summit State Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.27,,0.0
2024-12-31,7.65,$-0.54,0.0
2024-09-30,8.4,$0.72,11.67
2024-06-30,9.4,$0.90,10.44
2024-03-31,10.65,$1.21,8.8
2023-12-31,11.92,$1.62,7.36
2023-09-30,15.41,$2.02,7.63
2023-06-30,14.41,$2.34,6.16
2023-03-31,13.12,$2.56,5.13
2022-12-31,14.83,$2.53,5.86
2022-09-30,13.52,$2.40,5.63
2022-06-30,14.07,$2.38,5.9
2022-03-31,15.68,$2.29,6.83
2021-12-31,14.1,$2.20,6.4
2021-09-30,16.27,$2.09,7.78
2021-06-30,12.68,$1.96,6.46
2021-03-31,13.22,$1.72,7.69
2020-12-31,10.83,$1.58,6.84
2020-09-30,8.87,$1.42,6.26
2020-06-30,7.06,$1.28,5.5
2020-03-31,6.21,$1.12,5.55
2019-12-31,9.98,$0.96,10.36
2019-09-30,8.99,$0.85,10.52
2019-06-30,8.39,$0.77,10.86
2019-03-31,8.74,$0.82,10.68
2018-12-31,8.8,$0.87,10.08
2018-09-30,11.36,$0.78,14.53
2018-06-30,11.35,$0.71,16.0
2018-03-31,9.82,$0.63,15.66
2017-12-31,9.1,$0.50,18.2
2017-09-30,8.91,$0.61,14.62
2017-06-30,9.21,$0.64,14.48
2017-03-31,9.16,$0.69,13.3
2016-12-31,8.37,$0.75,11.17
2016-09-30,7.51,$0.76,9.83
2016-06-30,7.53,$0.77,9.76
2016-03-31,7.2,$0.84,8.61
2015-12-31,7.41,$0.89,8.29
2015-09-30,6.98,$0.97,7.22
2015-06-30,6.94,$0.95,7.29
2015-03-31,6.9,$0.89,7.78
2014-12-31,7.22,$0.81,8.94
2014-09-30,6.69,$0.71,9.39
2014-06-30,6.73,$0.71,9.54
2014-03-31,5.54,$0.67,8.28
2013-12-31,5.27,$0.63,8.42
2013-09-30,4.65,$0.60,7.79
2013-06-30,4.62,$0.57,8.15
2013-03-31,4.0,$0.52,7.74
2012-12-31,3.24,$0.45,7.18
2012-09-30,2.94,$0.36,8.08
2012-06-30,2.69,$0.25,10.56
2012-03-31,2.81,$0.25,11.05
2011-12-31,2.36,$0.23,10.15
2011-09-30,2.31,$0.22,10.58
2011-06-30,2.97,$0.22,13.61
2011-03-31,3.04,$0.17,17.43
2010-12-31,3.01,$0.19,15.89
2010-09-30,2.86,$0.18,15.72
2010-06-30,2.61,$0.16,16.3
2010-03-31,2.78,$0.19,14.7
2009-12-31,2.22,$0.25,8.98
