National Storage Affiliates Trust PE Ratio Historical Data,National Storage Affiliates Trust PE Ratio Historical Data,National Storage Affiliates Trust PE Ratio Historical Data,National Storage Affiliates Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.39,,33.68
2024-12-31,37.91,$1.14,33.25
2024-09-30,47.55,$1.71,27.8
2024-06-30,40.19,$1.79,22.45
2024-03-31,37.66,$1.91,19.72
2023-12-31,39.29,$1.50,26.19
2023-09-30,29.66,$1.09,27.21
2023-06-30,32.03,$1.04,30.79
2023-03-31,37.81,$1.00,37.81
2022-12-31,32.27,$1.00,32.27
2022-09-30,36.61,$0.94,38.95
2022-06-30,43.59,$0.99,44.03
2022-03-31,53.99,$1.00,53.99
2021-12-31,59.03,$0.95,62.14
2021-09-30,44.72,$0.88,50.81
2021-06-30,42.52,$0.77,55.22
2021-03-31,33.33,$0.62,53.75
2020-12-31,29.82,$0.49,60.85
2020-09-30,26.79,$0.44,60.89
2020-06-30,23.25,$0.09,258.34
2020-03-31,23.75,$-0.20,0.0
2019-12-31,26.68,$-0.18,0.0
2019-09-30,26.22,$-0.47,0.0
2019-06-30,22.52,$-0.24,0.0
2019-03-31,21.95,$0.02,1097.3
2018-12-31,20.15,$0.03,671.77
2018-09-30,19.18,$0.11,174.38
2018-06-30,22.99,$0.11,209.04
2018-03-31,18.53,$0.09,205.89
2017-12-31,19.92,$0.01,0.0
2017-09-30,17.53,$0.16,109.55
2017-06-30,16.53,$0.13,127.13
2017-03-31,16.9,$0.16,105.62
2016-12-31,15.45,$0.22,70.21
2016-09-30,14.49,$0.23,62.99
2016-06-30,14.24,$0.26,54.78
2016-03-31,14.35,$0.18,79.72
