SITE CENTERS CORP PE Ratio Historical Data,SITE CENTERS CORP PE Ratio Historical Data,SITE CENTERS CORP PE Ratio Historical Data,SITE CENTERS CORP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.8,,1.31
2024-12-31,15.29,$9.74,1.57
2024-09-30,17.64,$13.67,1.29
2024-06-30,16.91,$8.48,1.99
2024-03-31,16.93,$4.08,4.15
2023-12-31,15.61,$4.84,3.22
2023-09-30,13.82,$1.64,8.43
2023-06-30,14.67,$1.96,7.48
2023-03-31,13.49,$3.00,4.5
2022-12-31,14.85,$2.96,5.02
2022-09-30,11.53,$3.52,3.27
2022-06-30,14.35,$2.80,5.13
2022-03-31,17.65,$1.96,9.0
2021-12-31,16.58,$1.96,8.46
2021-09-30,16.05,$0.80,20.06
2021-06-30,15.54,$0.36,43.16
2021-03-31,13.88,$-0.08,0.0
2020-12-31,10.28,$0.32,32.12
2020-09-30,7.28,$0.64,11.37
2020-06-30,8.19,$0.92,8.9
2020-03-31,5.27,$1.32,3.99
2019-12-31,13.89,$1.32,10.52
2019-09-30,14.75,$4.84,3.05
2019-06-30,12.75,$4.16,3.06
2019-03-31,12.92,$3.68,3.51
2018-12-31,10.34,$1.72,6.01
2018-09-30,12.31,$-6.88,0.0
2018-06-30,13.46,$-6.68,0.0
2018-03-31,10.79,$-5.92,0.0
2017-12-31,12.83,$-5.84,0.0
2017-09-30,12.8,$-0.32,0.0
2017-06-30,12.42,$-1.60,0.0
2017-03-31,16.81,$-1.28,0.0
2016-12-31,20.19,$0.88,22.95
2016-09-30,22.77,$2.16,10.54
2016-06-30,23.44,$4.80,4.88
2016-03-31,22.74,$4.32,5.26
2015-12-31,21.29,$-2.08,0.0
2015-09-30,19.24,$-4.40,0.0
2015-06-30,19.12,$-4.24,0.0
2015-03-31,22.79,$-3.04,0.0
2014-12-31,22.26,$1.92,11.59
2014-09-30,20.11,$2.32,8.67
2014-06-30,20.99,$0.80,26.24
2014-03-31,19.45,$-1.60,0.0
2013-12-31,17.97,$-1.04,0.0
2013-09-30,18.2,$-1.20,0.0
2013-06-30,19.13,$-0.72,0.0
2013-03-31,19.86,$-1.12,0.0
2012-12-31,17.72,$-1.76,0.0
2012-09-30,17.24,$-1.68,0.0
2012-06-30,16.31,$-3.44,0.0
2012-03-31,16.12,$-2.96,0.0
2011-12-31,13.33,$-2.24,0.0
2011-09-30,11.85,$-5.12,0.0
2011-06-30,15.25,$-4.48,0.0
2011-03-31,15.09,$-6.80,0.0
2010-12-31,15.15,$-8.08,0.0
2010-09-30,12.04,$-8.80,0.0
2010-06-30,10.61,$-15.20,0.0
2010-03-31,13.02,$-25.20,0.0
2009-12-31,9.89,$-19.28,0.0
