GENFIT S.A PE Ratio Historical Data,GENFIT S.A PE Ratio Historical Data,GENFIT S.A PE Ratio Historical Data,GENFIT S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.61,,inf
2024-06-30,3.61,0.0,0.0
2023-12-31,3.85,0.0,0.0
2023-06-30,3.54,0.0,0.0
2022-12-31,4.39,0.0,0.0
2022-06-30,3.22,0.0,0.0
2021-12-31,5.0,0.0,0.0
2021-06-30,3.8,0.0,0.0
2020-12-31,4.8,0.0,0.0
