Applied Industrial Technologies PE Ratio Historical Data,Applied Industrial Technologies PE Ratio Historical Data,Applied Industrial Technologies PE Ratio Historical Data,Applied Industrial Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,228.46,,23.15
2024-12-31,239.47,$9.87,24.26
2024-09-30,222.82,$9.80,22.74
2024-06-30,193.37,$9.83,19.67
2024-03-31,196.54,$9.54,20.6
2023-12-31,171.47,$9.53,17.99
2023-09-30,153.52,$9.26,16.58
2023-06-30,143.48,$8.84,16.23
2023-03-31,140.42,$8.51,16.5
2022-12-31,124.21,$7.79,15.95
2022-09-30,101.03,$7.20,14.03
2022-06-30,94.25,$6.59,14.3
2022-03-31,100.28,$6.08,16.49
2021-12-31,99.97,$5.75,17.39
2021-09-30,87.46,$4.15,21.07
2021-06-30,88.04,$3.68,23.92
2021-03-31,87.86,$2.94,29.88
2020-12-31,74.85,$-0.62,0.0
2020-09-30,52.64,$0.49,107.44
2020-06-30,59.31,$0.60,98.86
2020-03-31,43.19,$0.85,50.81
2019-12-31,62.71,$3.41,18.39
2019-09-30,53.15,$3.43,15.5
2019-06-30,57.24,$3.67,15.6
2019-03-31,55.01,$3.68,14.95
2018-12-31,49.63,$4.19,11.84
2018-09-30,71.67,$3.99,17.96
2018-06-30,64.0,$3.61,17.73
2018-03-31,66.22,$3.92,16.89
2017-12-31,61.6,$3.74,16.47
2017-09-30,59.23,$3.56,16.64
2017-06-30,52.88,$3.40,15.55
2017-03-31,55.13,$2.72,20.27
2016-12-31,52.7,$0.83,63.5
2016-09-30,41.26,$0.83,49.71
2016-06-30,39.61,$0.74,53.53
2016-03-31,37.84,$0.78,48.52
2015-12-31,35.06,$2.62,13.38
2015-09-30,32.81,$2.73,12.02
2015-06-30,33.87,$2.82,12.01
2015-03-31,38.49,$2.83,13.6
2014-12-31,38.45,$2.85,13.49
2014-09-30,38.31,$2.74,13.98
2014-06-30,42.35,$2.67,15.86
2014-03-31,40.06,$2.72,14.73
2013-12-31,40.55,$2.69,15.08
2013-09-30,42.34,$2.72,15.56
2013-06-30,39.55,$2.79,14.18
2013-03-31,36.64,$2.78,13.18
2012-12-31,34.03,$2.78,12.24
2012-09-30,33.38,$2.63,12.69
2012-06-30,29.53,$2.54,11.63
2012-03-31,32.78,$2.44,13.44
2011-12-31,27.89,$2.36,11.82
2011-09-30,21.42,$2.36,9.07
2011-06-30,27.88,$2.23,12.5
2011-03-31,25.9,$2.22,11.67
2010-12-31,25.17,$2.00,12.58
2010-09-30,23.58,$1.75,13.48
2010-06-30,19.39,$1.53,12.67
2010-03-31,18.94,$0.70,27.05
2009-12-31,16.7,$0.58,28.8
