Lightbridge PE Ratio Historical Data,Lightbridge PE Ratio Historical Data,Lightbridge PE Ratio Historical Data,Lightbridge PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.42,,0.0
2024-12-31,4.73,$-0.81,0.0
2024-09-30,2.8,$-0.75,0.0
2024-06-30,3.37,$-0.71,0.0
2024-03-31,2.95,$-0.68,0.0
2023-12-31,3.21,$-0.64,0.0
2023-09-30,4.49,$-0.62,0.0
2023-06-30,5.82,$-0.65,0.0
2023-03-31,4.1,$-0.65,0.0
2022-12-31,3.89,$-0.68,0.0
2022-09-30,4.56,$-1.31,0.0
2022-06-30,4.66,$-1.44,0.0
2022-03-31,8.35,$-1.57,0.0
2021-12-31,6.63,$-1.70,0.0
2021-09-30,4.87,$-2.28,0.0
2021-06-30,7.37,$-2.77,0.0
2021-03-31,6.39,$-3.16,0.0
2020-12-31,4.23,$-3.57,0.0
2020-09-30,4.17,$-2.76,0.0
2020-06-30,4.49,$-2.77,0.0
2020-03-31,1.97,$-3.19,0.0
2019-12-31,4.5,$-3.53,0.0
2019-09-30,8.66,$-4.05,0.0
2019-06-30,7.97,$-5.04,0.0
2019-03-31,6.61,$-5.64,0.0
2018-12-31,6.54,$-9.24,0.0
2018-09-30,11.05,$-10.32,0.0
2018-06-30,12.0,$-10.44,0.0
2018-03-31,14.04,$-10.80,0.0
2017-12-31,14.64,$-8.52,0.0
2017-09-30,13.2,$-13.21,0.0
2017-06-30,20.76,$-16.57,0.0
2017-03-31,15.96,$-18.13,0.0
2016-12-31,13.68,$-16.93,0.0
2016-09-30,20.88,$-20.89,0.0
2016-06-30,27.6,$-16.21,0.0
2016-03-31,33.6,$-17.41,0.0
2015-12-31,60.0,$-19.81,0.0
2015-09-30,49.8,$-12.00,0.0
2015-06-30,67.2,$-14.41,0.0
2015-03-31,74.4,$-16.21,0.0
2014-12-31,93.0,$-18.61,0.0
2014-09-30,138.0,$-21.01,0.0
2014-06-30,166.2,$-24.61,0.0
2014-03-31,161.4,$-22.81,0.0
2013-12-31,87.0,$-22.81,0.0
2013-09-30,107.4,$-20.41,0.0
2013-06-30,103.2,$-19.81,0.0
2013-03-31,104.4,$-21.61,0.0
2012-12-31,84.6,$-19.21,0.0
2012-09-30,121.2,$-25.21,0.0
2012-06-30,121.2,$-24.61,0.0
2012-03-31,192.06,$-23.41,0.0
2011-12-31,122.4,$-27.61,0.0
2011-09-30,154.2,$-29.41,0.0
2011-06-30,215.4,$-32.41,0.0
2011-03-31,346.2,$-38.42,0.0
2010-12-31,321.6,$-40.82,0.0
2010-09-30,354.0,$-42.02,0.0
2010-06-30,492.0,$-47.42,0.0
2010-03-31,489.0,$-36.02,0.0
2009-12-31,359.4,$-43.84,0.0
