Mullen Automotive PE Ratio Historical Data,Mullen Automotive PE Ratio Historical Data,Mullen Automotive PE Ratio Historical Data,Mullen Automotive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.34,,0.0
2024-12-31,1.2,"$-164,134.40",0.0
2024-09-30,3.15,"$-255,209.60",0.0
2024-06-30,240.0,"$-255,209.60",0.0
2024-03-31,520.0,"$-6,878,503.33",0.0
2023-12-31,1429.0,"$-13,769,084.53",0.0
2023-09-30,4540.0,"$-51,405,668.00",0.0
2023-06-30,9693.0,"$-322,241,168.00",0.0
2023-03-31,295425.0,"$-337,129,549.00",0.0
2022-12-31,643500.01,"$-415,011,600.00",0.0
2022-09-30,737550.01,"$-658,898,280.00",0.0
2022-06-30,2295000.02,"$-388,062,780.00",0.0
2022-03-31,6705000.07,"$-338,207,500.00",0.0
2021-12-31,11767500.12,"$-246,581,559.00",0.0
2021-09-30,18540000.19,"$35,033,441.00",0.53
2021-06-30,29070000.29,"$-35,033,449.00",0.0
2021-03-31,24570000.25,"$-74,109,209.00",0.0
2020-12-31,31387500.31,"$-125,311,940.00",0.0
2020-09-30,20227500.2,"$-125,311,940.00",0.0
2020-06-30,19597500.2,"$-87,583,610.00",0.0
2020-03-31,4162725.04,"$-126,659,380.00",0.0
2019-12-31,7222500.07,"$-121,269,610.00",0.0
2019-09-30,10282500.1,"$-121,269,610.00",0.0
2019-06-30,10282500.1,"$-119,922,180.00",0.0
2019-03-31,13275000.13,"$-101,058,020.00",0.0
2018-12-31,12870000.13,"$-118,574,740.00",0.0
2018-09-30,12127500.12,"$-118,574,740.00",0.0
2018-06-30,16537500.17,"$-208,853,210.00",0.0
2018-03-31,15660000.16,"$-299,131,680.00",0.0
2017-12-31,25042500.25,"$-444,655,200.00",0.0
2017-09-30,19014750.19,"$-444,655,200.00",0.0
2017-06-30,14670000.15,"$-660,245,600.00",0.0
2017-03-31,20947500.21,"$-1,158,798,500.00",0.0
2016-12-31,16875000.17,"$-1,226,170,500.00",0.0
2016-09-30,26325000.26,"$-1,226,170,500.00",0.0
2016-06-30,41400000.41,"$-1,832,518,600.00",0.0
2016-03-31,70605000.71,"$-1,751,672,200.00",0.0
2015-12-31,42300000.42,"$-2,155,904,200.00",0.0
2015-09-30,36000000.36,"$-2,155,904,200.00",0.0
2015-06-30,87592500.88,"$-2,212,696,099.00",0.0
2015-03-31,100000000.0,"$-1,134,743,899.00",0.0
2014-12-31,100000000.0,"$-1,461,023,898.00",0.0
2014-09-30,100000000.0,"$-1,461,023,898.00",0.0
2014-06-30,100000000.0,"$-1,461,023,898.00",0.0
2014-03-31,100000000.0,"$-2,999,999,997.00",0.0
2013-12-31,100000000.0,"$-2,999,999,997.00",0.0
2013-09-30,100000000.0,"$-2,999,999,997.00",0.0
2013-06-30,100000000.0,"$-1,999,999,998.00",0.0
2013-03-31,100000000.0,"$-999,999,999.00",0.0
2012-12-31,100000000.0,0,0.0
2012-09-30,33750000.34,0,0.0
2012-06-30,54000000.54,0,0.0
2012-03-31,56250000.56,0,0.0
2011-12-31,100000000.0,0,0.0
2011-09-30,33750000.34,0,0.0
