PC Connection PE Ratio Historical Data,PC Connection PE Ratio Historical Data,PC Connection PE Ratio Historical Data,PC Connection PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,62.19,,18.9
2024-12-31,69.27,$3.29,21.05
2024-09-30,75.33,$3.41,22.09
2024-06-30,64.02,$3.36,19.05
2024-03-31,65.64,$3.12,21.04
2023-12-31,66.82,$3.16,21.15
2023-09-30,53.0,$2.97,17.84
2023-06-30,44.71,$2.88,15.52
2023-03-31,44.48,$3.09,14.4
2022-12-31,46.32,$3.38,13.7
2022-09-30,44.25,$3.52,12.57
2022-06-30,43.23,$3.40,12.72
2022-03-31,51.42,$3.10,16.59
2021-12-31,42.33,$2.66,15.91
2021-09-30,42.3,$2.43,17.41
2021-06-30,44.46,$2.31,19.24
2021-03-31,44.57,$1.94,22.97
2020-12-31,45.15,$2.11,21.4
2020-09-30,39.2,$2.32,16.9
2020-06-30,44.26,$2.58,17.15
2020-03-31,39.34,$3.18,12.37
2019-12-31,47.41,$3.10,15.29
2019-09-30,36.91,$3.07,12.02
2019-06-30,33.19,$2.68,12.38
2019-03-31,34.79,$2.47,14.09
2018-12-31,28.21,$2.41,11.7
2018-09-30,36.49,$2.38,15.33
2018-06-30,31.15,$2.36,13.2
2018-03-31,23.46,$2.19,10.71
2017-12-31,24.59,$2.05,12.0
2017-09-30,26.12,$1.77,14.75
2017-06-30,25.07,$1.79,14.0
2017-03-31,27.6,$1.75,15.77
2016-12-31,26.02,$1.81,14.38
2016-09-30,24.18,$1.83,13.21
2016-06-30,21.78,$1.81,12.03
2016-03-31,23.62,$1.78,13.27
2015-12-31,20.72,$1.76,11.77
2015-09-30,18.64,$1.70,10.96
2015-06-30,22.24,$1.67,13.32
2015-03-31,23.46,$1.66,14.13
2014-12-31,22.07,$1.61,13.71
2014-09-30,18.97,$1.53,12.4
2014-06-30,18.27,$1.47,12.43
2014-03-31,17.95,$1.39,12.92
2013-12-31,21.96,$1.35,16.26
2013-09-30,13.1,$1.31,10.0
2013-06-30,13.42,$1.28,10.48
2013-03-31,14.2,$1.26,11.27
2012-12-31,9.99,$1.24,8.05
2012-09-30,9.65,$1.19,8.11
2012-06-30,8.9,$1.17,7.61
2012-03-31,6.89,$1.12,6.15
2011-12-31,9.3,$1.08,8.61
2011-09-30,6.45,$1.06,6.09
2011-06-30,6.69,$1.03,6.5
2011-03-31,7.16,$0.93,7.7
2010-12-31,7.16,$0.85,8.43
2010-09-30,5.52,$0.74,7.46
2010-06-30,4.9,$0.53,9.24
2010-03-31,5.01,$0.11,45.56
2009-12-31,5.46,$-0.04,0.0
