Global Ship Lease PE Ratio Historical Data,Global Ship Lease PE Ratio Historical Data,Global Ship Lease PE Ratio Historical Data,Global Ship Lease PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.88,,3.32
2024-12-31,21.83,$7.19,3.04
2024-09-30,26.12,$9.03,2.89
2024-06-30,27.72,$9.15,3.03
2024-03-31,19.29,$8.85,2.18
2023-12-31,18.49,$8.33,2.22
2023-09-30,16.75,$8.50,1.97
2023-06-30,17.38,$8.60,2.02
2023-03-31,16.45,$7.97,2.06
2022-12-31,14.33,$7.88,1.82
2022-09-30,13.29,$7.71,1.72
2022-06-30,13.63,$7.00,1.95
2022-03-31,23.12,$6.33,3.65
2021-12-31,18.41,$4.53,4.06
2021-09-30,18.84,$3.04,6.2
2021-06-30,15.35,$1.74,8.82
2021-03-31,10.9,$1.33,8.19
2020-12-31,9.19,$1.22,7.53
2020-09-30,5.33,$1.13,4.72
2020-06-30,3.28,$1.13,2.9
2020-03-31,2.86,$1.09,2.62
2019-12-31,6.83,$1.51,4.52
2019-09-30,5.91,$-3.87,0.0
2019-06-30,5.7,$-3.66,0.0
2019-03-31,4.48,$-3.40,0.0
2018-12-31,3.83,$-3.12,0.0
2018-09-30,6.8,$-14.64,0.0
2018-06-30,8.16,$-13.76,0.0
2018-03-31,6.8,$-13.28,0.0
2017-12-31,7.17,$-12.88,0.0
2017-09-30,9.71,$-5.44,0.0
2017-06-30,7.54,$-10.88,0.0
2017-03-31,9.15,$-10.96,0.0
2016-12-31,9.28,$-11.28,0.0
2016-09-30,10.27,$-1.04,0.0
2016-06-30,7.85,$-4.00,0.0
2016-03-31,7.11,$-4.56,0.0
2015-12-31,16.08,$-5.36,0.0
2015-09-30,27.9,$-6.56,0.0
2015-06-30,34.24,$1.36,25.18
2015-03-31,32.06,$0.48,66.78
2014-12-31,26.62,$0.80,33.27
2014-09-30,23.72,$2.32,10.22
2014-06-30,24.37,$2.48,9.83
2014-03-31,25.73,$4.56,5.64
2013-12-31,35.55,$5.44,6.53
2013-09-30,30.64,$5.44,5.63
2013-06-30,23.54,$5.68,4.14
2013-03-31,26.62,$5.28,5.04
2012-12-31,17.39,$5.44,3.2
2012-09-30,20.17,$5.92,3.41
2012-06-30,18.93,$4.32,4.38
2012-03-31,20.7,$1.04,19.9
2011-12-31,10.71,$1.52,7.04
2011-09-30,12.42,$-0.08,0.0
2011-06-30,31.52,$-0.40,0.0
2011-03-31,41.64,$0.88,47.32
2010-12-31,29.28,$-0.48,0.0
2010-09-30,15.5,$1.12,13.84
2010-06-30,16.26,$1.04,15.64
2010-03-31,14.25,$5.12,2.78
2009-12-31,8.52,$6.32,1.35
