Advanced Energy Industries PE Ratio Historical Data,Advanced Energy Industries PE Ratio Historical Data,Advanced Energy Industries PE Ratio Historical Data,Advanced Energy Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,105.83,,74.01
2024-12-31,115.63,$1.43,80.86
2024-09-30,105.15,$1.14,92.24
2024-06-30,108.57,$2.40,45.24
2024-03-31,101.71,$2.72,37.39
2023-12-31,108.52,$3.40,31.92
2023-09-30,102.64,$3.56,28.83
2023-06-30,110.83,$4.67,23.73
2023-03-31,97.35,$5.14,18.94
2022-12-31,85.12,$5.29,16.09
2022-09-30,76.73,$5.18,14.81
2022-06-30,72.26,$3.76,19.22
2022-03-31,85.12,$3.49,24.39
2021-12-31,89.94,$3.52,25.55
2021-09-30,86.58,$3.56,24.32
2021-06-30,111.07,$4.20,26.44
2021-03-31,107.47,$4.04,26.6
2020-12-31,95.37,$3.52,27.09
2020-09-30,61.9,$2.70,22.93
2020-06-30,66.67,$1.71,38.99
2020-03-31,47.69,$1.77,26.94
2019-12-31,70.03,$1.69,41.44
2019-09-30,56.46,$1.92,29.41
2019-06-30,55.34,$2.61,21.2
2019-03-31,48.86,$2.96,16.51
2018-12-31,42.22,$3.72,11.35
2018-09-30,50.8,$2.47,20.57
2018-06-30,57.13,$3.67,15.57
2018-03-31,62.85,$3.64,17.27
2017-12-31,66.37,$3.41,19.46
2017-09-30,79.43,$5.27,15.07
2017-06-30,63.62,$3.94,16.15
2017-03-31,67.43,$3.56,18.94
2016-12-31,53.85,$3.19,16.88
2016-09-30,46.54,$2.97,15.67
2016-06-30,37.33,$2.61,14.3
2016-03-31,34.22,$-3.83,0.0
2015-12-31,27.76,$-3.87,0.0
2015-09-30,25.87,$-4.53,0.0
2015-06-30,27.04,$-4.63,0.0
2015-03-31,25.24,$1.31,19.27
2014-12-31,23.31,$1.14,20.45
2014-09-30,18.48,$1.74,10.62
2014-06-30,18.93,$1.46,12.97
2014-03-31,24.1,$0.96,25.1
2013-12-31,22.48,$0.78,28.82
2013-09-30,17.22,$0.08,215.27
2013-06-30,17.12,$0.21,81.54
2013-03-31,18.0,$0.67,26.86
2012-12-31,13.58,$0.53,25.63
2012-09-30,12.13,$0.34,35.67
2012-06-30,13.2,$0.34,38.82
2012-03-31,12.9,$0.43,30.01
2011-12-31,10.55,$0.83,12.71
2011-09-30,8.48,$1.61,5.27
2011-06-30,14.55,$1.91,7.62
2011-03-31,16.08,$1.91,8.42
2010-12-31,13.42,$1.63,8.23
2010-09-30,12.84,$0.95,13.52
2010-06-30,12.09,$0.30,40.29
2010-03-31,16.29,$-0.39,0.0
2009-12-31,14.83,$-2.44,0.0
