Pan American Silver PE Ratio Historical Data,Pan American Silver PE Ratio Historical Data,Pan American Silver PE Ratio Historical Data,Pan American Silver PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.4,,82.5
2024-12-31,20.22,$0.32,63.19
2024-09-30,20.78,$-0.17,0.0
2024-06-30,19.7,$-0.39,0.0
2024-03-31,14.88,$-0.46,0.0
2023-12-31,15.99,$-0.30,0.0
2023-09-30,14.08,$-0.93,0.0
2023-06-30,14.17,$-1.21,0.0
2023-03-31,17.6,$-1.91,0.0
2022-12-31,15.71,$-1.63,0.0
2022-09-30,15.16,$-0.75,0.0
2022-06-30,18.65,$-0.31,0.0
2022-03-31,25.75,$0.86,29.94
2021-12-31,23.45,$0.46,50.97
2021-09-30,21.77,$1.20,18.14
2021-06-30,26.62,$1.41,18.88
2021-03-31,27.92,$1.17,23.86
2020-12-31,32.02,$0.84,38.11
2020-09-30,29.76,$0.29,102.63
2020-06-30,28.09,$0.16,175.58
2020-03-31,13.22,$0.15,88.13
2019-12-31,21.8,$0.71,30.7
2019-09-30,14.4,$0.04,360.04
2019-06-30,11.84,$-0.20,0.0
2019-03-31,12.11,$-0.05,0.0
2018-12-31,13.31,$0.07,190.1
2018-09-30,13.42,$0.81,16.56
2018-06-30,16.24,$0.98,16.57
2018-03-31,14.62,$0.97,15.07
2017-12-31,14.05,$0.79,17.79
2017-09-30,15.37,$0.61,25.2
2017-06-30,15.15,$0.78,19.42
2017-03-31,15.75,$0.77,20.46
2016-12-31,13.53,$0.65,20.82
2016-09-30,15.81,$-0.37,0.0
2016-06-30,14.75,$-1.09,0.0
2016-03-31,9.74,$-1.36,0.0
2015-12-31,5.82,$-1.50,0.0
2015-09-30,5.64,$-4.10,0.0
2015-06-30,7.58,$-3.81,0.0
2015-03-31,7.7,$-3.80,0.0
2014-12-31,7.97,$-3.62,0.0
2014-09-30,9.4,$-2.08,0.0
2014-06-30,13.03,$-1.84,0.0
2014-03-31,10.82,$-3.03,0.0
2013-12-31,9.75,$-2.95,0.0
2013-09-30,8.69,$-1.25,0.0
2013-06-30,9.5,$-1.19,0.0
2013-03-31,13.23,$0.27,49.01
2012-12-31,15.02,$0.61,24.62
2012-09-30,17.14,$1.75,9.8
2012-06-30,13.46,$2.08,6.47
2012-03-31,17.55,$2.89,6.07
2011-12-31,17.33,$3.28,5.28
2011-09-30,21.25,$2.81,7.56
2011-06-30,24.49,$2.60,9.42
2011-03-31,29.42,$1.73,17.01
2010-12-31,32.63,$1.05,31.08
2010-09-30,23.41,$0.93,25.18
2010-06-30,19.98,$0.86,23.24
2010-03-31,18.3,$0.81,22.59
2009-12-31,18.8,$0.71,26.48
