Evolution Petroleum PE Ratio Historical Data,Evolution Petroleum PE Ratio Historical Data,Evolution Petroleum PE Ratio Historical Data,Evolution Petroleum PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.05,,101.0
2024-12-31,5.23,$0.05,104.6
2024-09-30,5.2,$0.14,37.12
2024-06-30,5.05,$0.12,42.06
2024-03-31,5.75,$0.08,71.86
2023-12-31,5.33,$0.48,11.11
2023-09-30,6.15,$0.76,8.09
2023-06-30,7.13,$1.04,6.85
2023-03-31,5.49,$1.48,3.71
2022-12-31,6.44,$1.24,5.19
2022-09-30,5.84,$1.13,5.17
2022-06-30,4.51,$0.97,4.65
2022-03-31,5.53,$0.60,9.21
2021-12-31,4.05,$0.47,8.62
2021-09-30,4.48,$-0.11,0.0
2021-06-30,3.85,$-0.49,0.0
2021-03-31,2.6,$-0.63,0.0
2020-12-31,2.18,$-0.56,0.0
2020-09-30,1.69,$-0.13,0.0
2020-06-30,2.1,$0.17,12.33
2020-03-31,1.94,$0.34,5.7
2019-12-31,3.94,$0.30,13.14
2019-09-30,4.13,$0.37,11.17
2019-06-30,4.98,$0.46,10.83
2019-03-31,4.63,$0.50,9.26
2018-12-31,4.61,$0.52,8.87
2018-09-30,7.37,$0.70,10.53
2018-06-30,6.51,$0.59,11.03
2018-03-31,5.26,$0.50,10.53
2017-12-31,4.42,$0.48,9.22
2017-09-30,4.6,$0.25,18.39
2017-06-30,5.12,$0.21,24.37
2017-03-31,5.01,$0.79,6.34
2016-12-31,6.21,$0.71,8.74
2016-09-30,3.87,$0.66,5.86
2016-06-30,3.34,$0.73,4.58
2016-03-31,2.94,$0.15,19.62
2015-12-31,2.88,$0.18,16.01
2015-09-30,3.29,$0.19,17.34
2015-06-30,3.88,$0.13,29.83
2015-03-31,3.48,$0.12,28.97
2014-12-31,4.31,$0.12,35.89
2014-09-30,5.25,$0.07,74.95
2014-06-30,6.2,$0.08,77.45
2014-03-31,7.14,$0.07,101.98
2013-12-31,6.87,$0.12,57.22
2013-09-30,6.21,$0.20,31.07
2013-06-30,6.02,$0.19,31.69
2013-03-31,5.6,$0.19,29.48
2012-12-31,4.49,$0.16,28.04
2012-09-30,4.46,$0.14,31.85
2012-06-30,4.6,$0.14,32.88
2012-03-31,5.13,$0.13,39.48
2011-12-31,4.44,$0.10,44.43
2011-09-30,3.9,$0.04,97.41
2011-06-30,3.92,$-0.01,0.0
2011-03-31,4.3,$-0.05,0.0
2010-12-31,3.6,$-0.08,0.0
2010-09-30,3.32,$-0.09,0.0
2010-06-30,2.77,$-0.10,0.0
2010-03-31,2.56,$-0.11,0.0
2009-12-31,2.41,$-0.13,0.0
