Valhi PE Ratio Historical Data,Valhi PE Ratio Historical Data,Valhi PE Ratio Historical Data,Valhi PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.07,,4.78
2024-12-31,23.39,$3.78,6.19
2024-09-30,33.27,$3.12,10.66
2024-06-30,17.72,$0.90,19.69
2024-03-31,17.01,$0.02,850.36
2023-12-31,14.96,$-0.42,0.0
2023-09-30,12.98,$-0.89,0.0
2023-06-30,12.5,$0.24,52.09
2023-03-31,16.84,$1.40,12.03
2022-12-31,21.19,$3.16,6.71
2022-09-30,24.15,$5.32,4.54
2022-06-30,43.41,$5.76,7.54
2022-03-31,28.02,$5.53,5.07
2021-12-31,27.4,$4.46,6.14
2021-09-30,22.17,$3.49,6.35
2021-06-30,23.04,$2.67,8.63
2021-03-31,19.37,$1.60,12.1
2020-12-31,14.3,$1.92,7.44
2020-09-30,12.31,$1.42,8.67
2020-06-30,9.75,$1.36,7.17
2020-03-31,11.42,$1.92,5.94
2019-12-31,20.4,$1.68,12.14
2019-09-30,20.51,$2.04,10.05
2019-06-30,31.73,$6.60,4.81
2019-03-31,24.44,$6.72,3.64
2018-12-31,20.32,$9.24,2.2
2018-09-30,23.78,$13.45,1.77
2018-06-30,49.34,$9.96,4.95
2018-03-31,62.61,$9.96,6.28
2017-12-31,63.55,$7.32,8.68
2017-09-30,24.96,$2.76,9.04
2017-06-30,30.33,$1.32,22.97
2017-03-31,33.19,$0.72,46.07
2016-12-31,34.79,$-0.48,0.0
2016-09-30,22.97,$-2.04,0.0
2016-06-30,15.56,$-2.52,0.0
2016-03-31,11.59,$-5.88,0.0
2015-12-31,12.99,$-4.68,0.0
2015-09-30,18.12,$-3.12,0.0
2015-06-30,53.83,$-1.80,0.0
2015-03-31,59.06,$2.40,24.6
2014-12-31,60.57,$1.92,31.54
2014-09-30,61.5,$2.16,28.46
2014-06-30,60.31,$-0.00,0.0
2014-03-31,82.56,$-2.04,0.0
2013-12-31,163.81,$-3.48,0.0
2013-09-30,185.34,$-3.96,0.0
2013-06-30,127.26,$-1.92,0.0
2013-03-31,148.18,$1.08,137.16
2012-12-31,115.07,$5.64,20.39
2012-09-30,111.84,$7.48,14.95
2012-06-30,114.03,$9.16,12.44
2012-03-31,160.86,$9.44,17.03
2011-12-31,182.91,$7.64,23.93
2011-09-30,163.51,$6.28,26.03
2011-06-30,149.6,$4.28,34.94
2011-03-31,79.19,$2.60,30.44
2010-12-31,66.11,$1.76,37.55
2010-09-30,60.44,$1.04,58.09
2010-06-30,36.53,$0.80,45.65
2010-03-31,57.87,$-0.00,0.0
2009-12-31,40.86,$-1.20,0.0
