Xcel Energy PE Ratio Historical Data,Xcel Energy PE Ratio Historical Data,Xcel Energy PE Ratio Historical Data,Xcel Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,70.09,,20.38
2024-12-31,67.52,$3.44,19.63
2024-09-30,65.3,$3.37,19.38
2024-06-30,52.96,$3.35,15.81
2024-03-31,52.76,$3.33,15.84
2023-12-31,60.13,$3.21,18.73
2023-09-30,55.11,$3.16,17.44
2023-06-30,59.35,$3.15,18.84
2023-03-31,63.85,$3.23,19.77
2022-12-31,65.86,$3.17,20.77
2022-09-30,59.7,$3.06,19.51
2022-06-30,65.59,$3.01,21.79
2022-03-31,66.4,$2.99,22.21
2021-12-31,61.85,$2.96,20.9
2021-09-30,56.71,$2.92,19.42
2021-06-30,59.37,$2.93,20.26
2021-03-31,59.54,$2.89,20.6
2020-12-31,59.25,$2.78,21.31
2020-09-30,60.92,$2.80,21.76
2020-06-30,54.84,$2.67,20.54
2020-03-31,52.55,$2.59,20.29
2019-12-31,54.95,$2.64,20.81
2019-09-30,55.8,$2.50,22.32
2019-06-30,50.83,$2.45,20.75
2019-03-31,47.7,$2.51,19.0
2018-12-31,41.51,$2.47,16.81
2018-09-30,39.47,$2.42,16.31
2018-06-30,37.9,$2.43,15.6
2018-03-31,37.4,$2.36,15.85
2017-12-31,39.22,$2.26,17.35
2017-09-30,38.29,$2.34,16.36
2017-06-30,36.85,$2.27,16.23
2017-03-31,35.43,$2.21,16.03
2016-12-31,32.18,$2.21,14.56
2016-09-30,32.25,$2.17,14.86
2016-06-30,34.82,$2.11,16.5
2016-03-31,32.26,$2.11,15.29
2015-12-31,27.47,$1.94,14.16
2015-09-30,26.84,$1.92,13.98
2015-06-30,24.16,$1.81,13.35
2015-03-31,25.88,$1.81,14.3
2014-12-31,26.45,$2.03,13.03
2014-09-30,22.2,$1.94,11.44
2014-06-30,23.31,$1.94,12.02
2014-03-31,21.75,$1.95,11.15
2013-12-31,19.82,$1.91,10.38
2013-09-30,19.39,$1.90,10.21
2013-06-30,19.7,$1.98,9.95
2013-03-31,20.45,$1.96,10.43
2012-12-31,18.22,$1.86,9.8
2012-09-30,18.71,$1.86,10.06
2012-06-30,19.0,$1.74,10.92
2012-03-31,17.54,$1.69,10.38
2011-12-31,18.13,$1.73,10.48
2011-09-30,16.04,$1.73,9.27
2011-06-30,15.63,$1.71,9.14
2011-03-31,15.2,$1.68,9.05
2010-12-31,14.83,$1.62,9.15
2010-09-30,14.31,$1.70,8.42
2010-06-30,12.7,$1.51,8.41
2010-03-31,12.91,$1.46,8.84
2009-12-31,12.77,$1.48,8.63
