Humana PE Ratio Historical Data,Humana PE Ratio Historical Data,Humana PE Ratio Historical Data,Humana PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,266.83,,26.82
2024-12-31,253.71,$9.95,25.5
2024-09-30,316.74,$11.29,28.05
2024-06-30,372.61,$14.02,26.58
2024-03-31,344.94,$16.06,21.48
2023-12-31,454.31,$19.82,22.92
2023-09-30,481.86,$24.12,19.98
2023-06-30,442.06,$26.80,16.49
2023-03-31,479.0,$24.62,19.46
2022-12-31,504.46,$22.04,22.89
2022-09-30,477.13,$22.05,21.64
2022-06-30,459.56,$24.50,18.76
2022-03-31,426.54,$23.57,18.1
2021-12-31,453.85,$22.67,20.02
2021-09-30,380.18,$20.71,18.36
2021-06-30,431.75,$18.92,22.82
2021-03-31,408.22,$28.12,14.52
2020-12-31,398.82,$25.29,15.77
2020-09-30,401.72,$31.20,12.88
2020-06-30,375.76,$26.29,14.29
2020-03-31,303.81,$19.48,15.6
2019-12-31,353.89,$20.08,17.62
2019-09-30,246.49,$18.82,13.1
2019-06-30,255.23,$18.33,13.92
2019-03-31,255.38,$12.78,19.98
2018-12-31,274.46,$12.15,22.59
2018-09-30,323.75,$10.86,29.81
2018-06-30,284.22,$9.65,29.45
2018-03-31,256.28,$12.72,20.15
2017-12-31,236.05,$16.68,14.15
2017-09-30,231.45,$12.71,18.21
2017-06-30,228.22,$12.25,18.63
2017-03-31,195.19,$9.85,19.82
2016-12-31,192.54,$3.92,49.12
2016-09-30,166.66,$7.27,22.92
2016-06-30,169.47,$6.38,26.56
2016-03-31,172.09,$7.17,24.0
2015-12-31,167.65,$8.43,19.89
2015-09-30,167.84,$8.70,19.29
2015-06-30,179.06,$8.46,21.17
2015-03-31,166.4,$7.80,21.33
2014-12-31,134.04,$7.33,18.29
2014-09-30,121.36,$6.20,19.57
2014-06-30,118.71,$6.66,17.82
2014-03-31,104.54,$7.10,14.72
2013-12-31,95.5,$7.70,12.4
2013-09-30,86.12,$9.08,9.48
2013-06-30,77.64,$9.39,8.27
2013-03-31,63.39,$8.92,7.11
2012-12-31,62.7,$7.46,8.41
2012-09-30,63.85,$7.47,8.55
2012-06-30,70.22,$7.52,9.34
2012-03-31,83.58,$8.07,10.36
2011-12-31,78.96,$8.44,9.36
2011-09-30,65.36,$7.87,8.31
2011-06-30,72.15,$7.52,9.59
2011-03-31,62.46,$6.81,9.17
2010-12-31,48.89,$6.47,7.56
2010-09-30,44.87,$7.32,6.13
2010-06-30,40.79,$6.78,6.02
2010-03-31,41.77,$6.45,6.48
2009-12-31,39.2,$6.15,6.37
