Eventbrite PE Ratio Historical Data,Eventbrite PE Ratio Historical Data,Eventbrite PE Ratio Historical Data,Eventbrite PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.34,,0.0
2024-12-31,3.36,$-0.17,0.0
2024-09-30,2.73,$-0.09,0.0
2024-06-30,4.84,$-0.15,0.0
2024-03-31,5.48,$-0.19,0.0
2023-12-31,8.36,$-0.27,0.0
2023-09-30,9.86,$-0.22,0.0
2023-06-30,9.55,$-0.33,0.0
2023-03-31,8.58,$-0.50,0.0
2022-12-31,5.86,$-0.56,0.0
2022-09-30,6.08,$-0.78,0.0
2022-06-30,10.27,$-0.75,0.0
2022-03-31,14.77,$-0.77,0.0
2021-12-31,17.44,$-1.49,0.0
2021-09-30,18.91,$-1.53,0.0
2021-06-30,19.0,$-1.56,0.0
2021-03-31,22.16,$-1.78,0.0
2020-12-31,18.1,$-2.58,0.0
2020-09-30,10.85,$-2.52,0.0
2020-06-30,8.57,$-2.67,0.0
2020-03-31,7.3,$-2.41,0.0
2019-12-31,20.17,$-0.83,0.0
2019-09-30,17.71,$-0.84,0.0
2019-06-30,16.2,$-1.72,0.0
