Data Storage PE Ratio Historical Data,Data Storage PE Ratio Historical Data,Data Storage PE Ratio Historical Data,Data Storage PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.57,,178.5
2024-09-30,3.77,$0.02,188.5
2024-06-30,6.56,$0.02,328.0
2024-03-31,5.72,$0.09,63.56
2023-12-31,2.88,$0.05,57.6
2023-09-30,3.24,$-0.40,0.0
2023-06-30,2.33,$-0.46,0.0
2023-03-31,1.82,$-0.62,0.0
2022-12-31,1.48,$-0.61,0.0
2022-09-30,2.04,$-0.17,0.0
2022-06-30,2.45,$-0.11,0.0
2022-03-31,3.23,$0.05,64.6
2021-12-31,3.06,$0.02,153.0
2021-09-30,4.44,$0.04,111.0
2021-06-30,5.83,$0.02,291.5
2021-03-31,9.4,$-0.01,0.0
2020-12-31,5.78,0,0.0
