Porch PE Ratio Historical Data,Porch PE Ratio Historical Data,Porch PE Ratio Historical Data,Porch PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.4,,0.0
2024-12-31,4.92,$-0.36,0.0
2024-09-30,1.54,$-0.70,0.0
2024-06-30,1.51,$-0.88,0.0
2024-03-31,4.31,$-1.14,0.0
2023-12-31,3.08,$-1.41,0.0
2023-09-30,0.8,$-1.74,0.0
2023-06-30,1.38,$-2.56,0.0
2023-03-31,1.43,$-1.92,0.0
2022-12-31,1.88,$-1.57,0.0
2022-09-30,2.25,$-1.46,0.0
2022-06-30,2.56,$-0.66,0.0
2022-03-31,6.95,$-0.56,0.0
2021-12-31,15.59,$-1.26,0.0
2021-09-30,17.68,$-1.01,0.0
2021-06-30,19.34,$-0.93,0.0
2021-03-31,17.7,$-0.76,0.0
2020-12-31,14.27,0,0.0
