XTL Biopharmaceuticals PE Ratio Historical Data,XTL Biopharmaceuticals PE Ratio Historical Data,XTL Biopharmaceuticals PE Ratio Historical Data,XTL Biopharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.18,,0.0
2024-09-30,2.4,$-0.07,0.0
2024-03-31,2.81,$-0.17,0.0
2023-12-31,1.01,$-0.27,0.0
2023-03-31,1.31,$-0.49,0.0
2022-06-30,1.52,$-0.27,0.0
2022-03-31,2.37,$-0.25,0.0
2021-06-30,3.99,$-0.25,0.0
2021-03-31,3.33,$0.72,4.63
2020-06-30,1.59,$0.87,1.83
2020-03-31,1.18,$0.95,1.24
2019-03-31,2.36,$0.55,4.3
2018-03-31,1.73,$-0.30,0.0
2017-03-31,2.63,$-0.70,0.0
2016-12-31,3.17,$-0.70,0.0
2016-09-30,4.75,$-1.20,0.0
2016-06-30,5.8,$-1.30,0.0
2016-03-31,5.16,$-1.20,0.0
2015-12-31,7.05,$-1.70,0.0
2015-09-30,8.0,$-1.20,0.0
2015-06-30,9.75,$-1.20,0.0
2015-03-31,11.5,$-1.10,0.0
2014-12-31,9.9,$-0.90,0.0
2014-09-30,8.5,$-0.90,0.0
2014-06-30,15.3,$-0.50,0.0
2014-03-31,18.2,$-0.90,0.0
2013-12-31,14.5,$-1.00,0.0
2013-09-30,26.65,$-0.70,0.0
2013-06-30,29.65,$-0.90,0.0
2013-03-31,31.75,$-1.00,0.0
2012-12-31,37.1,$-0.60,0.0
2012-09-30,33.0,$-0.50,0.0
2012-06-30,29.5,$-0.50,0.0
2012-03-31,26.0,0,0.0
2011-12-31,19.0,0,0.0
2011-09-30,15.0,0,0.0
2011-06-30,16.0,0,0.0
2011-03-31,21.0,$-0.50,0.0
2010-12-31,23.5,$-1.00,0.0
2010-09-30,13.0,$-1.50,0.0
2010-06-30,4.5,$-1.50,0.0
2010-03-31,5.5,0,0.0
2009-12-31,5.0,$2.00,2.5
